Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-497/2022,2022_HPSEB_61157_1,Yes,Open Tender,Item Wise,Works,2.0,No,Yes,Online,No,No,No,1.0,Corrigendum1,Date,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Test Reports,"5,900",Nil,Nil,No,"1,00,000",No,fixed,,Nil,Nil,"Tender for Repair/ Overhauling of damaged 01 No. 132/33kV, 16 MVA Three Phase Power Transformer lying at 132/33/11 kV Sub-Station, HPSEBL, Kangra and Installation after repair at proposed 132/33 kV GIS Sub-Station, HPSEBL, Bijhar District Hamirpur","Tender for Repair/ Overhauling of damaged 01 No. 132/33kV, 16 MVA Three Phase Power Transformer lying at 132/33/11 kV Sub-Station, HPSEBL, Kangra and Installation after repair at proposed 132/33 kV GIS Sub-Station, HPSEBL, Bijhar District Hamirpur",Please refer Tender documents. ,NA ,"50,00,000",Electrical Works,NA ,Tender,240.0,120.0,Hamirpur,177001.0,SE Design ES HPSEBL Hamirpur ,O/o SE Design ES HPSEBL Hamirpur ,03-Jun-2022 11:00 AM ,SE Design ES HPSEBL Hamirpur,No ,No,SE Design ES HPSEBL,O/o SE Design ES HPSEBL Hamirpur,28-May-2022 12:15 PM,20-Jun-2022 03:00 PM,28-May-2022 12:20 PM,20-Jun-2022 01:00 PM,NA ,NA ,03-Jun-2022 02:00 PM,20-Jun-2022 01:00 PM,25-Jul-2022 03:00 PM,AOC,Er KK Bhardwaj,Internal,Sr XEN AE AAO,Puneet Chaudhary,26-Aug-2022 11:29 AM,finsummary_92318.pdf (101.83 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_61157_1,SSD-497/2022,"Tender for Repair/ Overhauling of damaged 01 No. 132/33kV, 16 MVA Three Phase Power Transformer lying at 132/33/11 kV Sub-Station, HPSEBL, Kangra and Installation after repair at proposed 132/33 kV GIS Sub-Station, HPSEBL, Bijhar District Hamirpur",1.0,287485.0,Svasca Industries (India) Ltd.,INR,"5,584,857",Er K K Bhardwaj,Internal,Sr XEN AAO AE,Megha Rana,25-Jul-2022 02:52 PM,25-Jul-2022 03:00 PM,techsummary_92318.pdf (95.61 KB),1.0,287449.0,Associated Electricals (Gzb) Pvt. Ltd.,19-Jun-2022 09:45 PM,Rejected-Finance,Bidder is L2,26-Aug-2022 11:29 AM,Finance,The price bids of responsive firms have been opened,Narender Pal Abrol,25-Jul-2022 03:10 PM,finance_92318.pdf,BOQ Comparative Chart,Technical,Technical bid i.e. Part-1 Opening,Narender Pal Abrol,20-Jun-2022 03:31 PM,technical_92318.pdf,03-Sep-2022,"INR 5,584,857",120.0,Puneet Chaudhary,03-Sep-2022 01:47 PM,AWARDSSD497.pdf (1614.00 KB),The award has been issued,AOC
,,,,,,,,,,,,,,2.0,CorrigendumII,Technical Bid,,2.0,ICICI NEFT/RTGS,,,.pdf,List of Past Supplies and Repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,285932.0,Power Star,17-Jun-2022 08:10 PM,Rejected-Technical,Techno Commercially Non Responsive,25-Jul-2022 02:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,287485.0,Svasca Industries (India) Ltd.,19-Jun-2022 06:43 PM,Accepted-AOC,Work Awarded,03-Sep-2022 01:48 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Vendors for material and equipment to be replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
