Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-500/2022,2022_HPSEB_61704_1,Yes,Open Tender,Item Wise,Works,2.0,No,Yes,Online,No,No,No,SE Design ES Hamirpur,O/o SE Design ES Hamirpur,"1,00,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Test Reports,1.0,Extension of Opening Date,Date,,1.0,ICICI BANK,13-Jun-2022 05:30 PM,15-Jul-2022 03:00 PM,13-Jun-2022 05:35 PM,15-Jul-2022 01:00 PM,NA ,NA ,23-Jun-2022 11:00 AM,15-Jul-2022 01:00 PM,25-Jul-2022 03:00 PM,"5,900",Nil,Nil,No,"Tender for Repair Overhauling of damaged 01 No. 132_33kV, 25/31.5 MVA Three Phase Power Transformer lying at 132/33 kV Sub-Station, HPSEBL, Maliana Distt.- Shimla and Installation and Commissioning after repair at 132/33 kV Sub-Station, Maliana","Tender for Repair/ Overhauling of damaged 01 No. 132/33kV, 25/31.5 MVA 3- Phase Power Transformer lying at 132/33 kV Sub-Station, HPSEBL, Maliana Distt Shimla and Installation an Commissioning after repair at 132/33 kV Sub-Station, HPSEBL, Malian",Please refer Tender documents. ,NA ,"75,00,000",Electrical Works,NA ,Tender,240.0,120.0,Shimla,171001.0,O/o SE Design ES Hamirpur  ,O/o SE Design ES Hamirpur  ,20-Jun-2022 11:00 AM ,O/o SE Design ES Hamirpur,No ,No,AOC,Er KK Bhardwaj,Internal,Sr XEN AE AAO,Puneet Chaudhary,26-Aug-2022 11:25 AM,finsummary_93106.pdf (101.83 KB),1.0,290668.0,Svasca Industries (India) Ltd.,INR,"7,328,199",HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_61704_1,SSD-500/2022,"Tender for Repair Overhauling of damaged 01 No. 132_33kV, 25/31.5 MVA Three Phase Power Transformer lying at 132/33 kV Sub-Station, HPSEBL, Maliana Distt.- Shimla and Installation and Commissioning after repair at 132/33 kV Sub-Station, Maliana",1.0,290598.0,Associated Electricals (Gzb) Pvt. Ltd.,15-Jul-2022 10:24 AM,Rejected-Finance,Bidder is L2,26-Aug-2022 11:25 AM,Er K K Bhardwaj,Internal,"Sr XEN, AAO, AE",Megha Rana,25-Jul-2022 02:56 PM,25-Jul-2022 03:00 PM,techsummary_93106.pdf (95.61 KB),Technical,All the 04 No. bodders have submitted the requisite tender fee and EMD,Megha Rana,15-Jul-2022 03:41 PM,technical_93106.pdf,Finance,The price bids of responsive bidder have been downloaded,Narender Pal Abrol,25-Jul-2022 03:26 PM,finance_93106.pdf,BOQ Comparative Chart,03-Sep-2022,"INR 7,328,199",120.0,Puneet Chaudhary,03-Sep-2022 01:52 PM,AwardSSD500.pdf (1602.00 KB),The work has been awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies and Repairs,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,291131.0,ECE INDUSTRIES LTD,14-Jul-2022 03:34 PM,Rejected-Finance,Bidder is L3,26-Aug-2022 11:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,290668.0,Svasca Industries (India) Ltd.,11-Jul-2022 12:26 PM,Accepted-AOC,The work has been awarded,03-Sep-2022 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,289398.0,Vishvas Power Engineering Services Pvt Ltd,02-Jul-2022 04:39 PM,Rejected-Finance,Bidder is L4,26-Aug-2022 11:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Vendors for material and equipment to be replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
