Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
Er. Prem Dass Narwal,Internal,"Rajiv Sharma Supdt Gr-ii, Pappu Kumar Sr. Asstt, Neelam Kumari JDM",Prem Dass,13-Jul-2022 03:03 PM,finsummary_92800.pdf (936.52 KB),27-Sep-2022,"INR 747,296",90.0,Prem Dass,30-Sep-2022 05:58 PM,Vikram.PDF (233.00 KB),award letter,PWD,2022_PWD_61491_2,No.PW-SRN-Tender22-231902 dt. 06.06.22,Extension of Play Ground at GSSS Gagal Shikore ( SH PCC R/Wall between RD 0/0 to 0/330),ER Prerm Dass Narwal EE,Internal,"Sh. Rajeev Sharma Supdt. Gr-II, Pappu Kumar Sr. Asstt., Smt. Neelam Kumari JDM",Prem Dass,16-Jun-2022 10:56 AM,16-Jun-2022 11:00 AM,techsummary_92800.pdf (1128.66 KB),Finance,SUMMARY,Prem Dass,25-Jun-2022 03:26 PM,finance_92800.pdf,BOQ Comparative Chart,1.0,286922.0,Vikram Thakur,INR,"747,296",Technical,SUMMARY,Prem Dass,16-Jun-2022 10:28 AM,technical_92800.pdf,1.0,286720.0,BALBIR SINGH,14-Jun-2022 08:09 AM,Rejected-Finance,L4,13-Jul-2022 03:03 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,350.0,Nil,Nil,No,Extension of Play Ground at GSSS Gagal Shikore ( SH PCC R/Wall between RD 0/0 to 0/330),Extension of Play Ground at GSSS Gagal Shikore ( SH PCC R/Wall between RD 0/0 to 0/330),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,90.0,SARAHAN DIVISION HPPWD SARAHAN,173024.0,NA ,NA ,NA ,SARAHAN DIVISION HPPWD SARAHAN,No ,No,07-Jun-2022 02:00 PM,15-Jun-2022 11:00 AM,07-Jun-2022 02:00 PM,15-Jun-2022 10:30 AM,NA ,NA ,07-Jun-2022 02:00 PM,15-Jun-2022 10:30 AM,16-Jun-2022 11:00 AM,PWD,No.PW-SRN-Tender22-231902 dt. 06.06.22,2022_PWD_61491_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"19,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,EXECUTIVE ENGINEER,SARAHAN DIVISION HPPWD SARAHAN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286752.0,H.N.Bhardwaj,14-Jun-2022 03:19 PM,Rejected-Finance,L2,13-Jul-2022 03:03 PM,AOC,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286113.0,Jagmohan Singh,13-Jun-2022 06:30 PM,Rejected-Finance,L3,13-Jul-2022 03:03 PM,AOC,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,286879.0,Nav Raj Singh,15-Jun-2022 09:15 AM,Rejected-Finance,L5,13-Jul-2022 03:03 PM,AOC,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,286922.0,Vikram Thakur,15-Jun-2022 08:48 AM,Accepted-AOC,work completed,30-Sep-2022 05:59 PM,AOC,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Ge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
