Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
EE JSV Division Hamirpur,EE JSV Division Hamirpur Tehsil and District Hamirpur,1.0,Fee,.pdf,(i) The earnest money as per NIT condition No. 2-i,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",No. EE-JSV-HMR-CB-22-23-2942-3042,2022_HPIPH_60301_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"24,35,930",No,fixed,,EE JSV Division Hamirpur,EE JSV Division Hamirpur,"2,500",EE JSV Division Hamirpur,EE JSV Division Hamirpur,Yes,04-May-2022 05:00 PM,23-May-2022 11:30 AM,04-May-2022 05:00 PM,23-May-2022 11:00 AM,04-May-2022 05:00 PM ,07-May-2022 05:00 PM ,11-May-2022 03:00 PM,23-May-2022 11:00 AM,18-Jun-2022 10:45 AM,1.0,CORRIGENDUM,Date,,Providing LWSS Chowki Chabot Amroh from River Beas in Tehsil - Distt. Hamirpur under JJM,SH-of Work and item description as per NIT be read,Please refer Tender documents. ,NA ,"24,03,42,999",Civil Works,NA ,Tender,180.0,365.0,JSV Sub Division Hamirpur,177001.0,"Chief Engineer, Jal Shakti Vibhag, Hamirpur Zone  ",Chief Engineer Jal Shakti Vibhag Hamirpur Zone Hamirpur Distt. Hamirpur (H.P) ,17-May-2022 03:30 PM ,EE JSV Division Hamirpur,No ,No,AOC,EE JSV Division Hamirpur,Internal,As per eligibility criteria approved in the minutes of meeting held on 17.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 8928-31-dated 17.06.2022,Rakesh Kumar Thakur,18-Jun-2022 04:01 PM,finsummary_91142.pdf (930.17 KB),"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",2022_HPIPH_60301_1,No. EE-JSV-HMR-CB-22-23-2942-3042,Providing LWSS Chowki Chabot Amroh from River Beas in Tehsil - Distt. Hamirpur under JJM,1.0,283117.0,HARJEET SINGH,INR,"275,755,698",1.0,283117.0,HARJEET SINGH,22-May-2022 12:22 PM,Accepted-AOC,L1,29-Sep-2022 10:41 AM,EE JSV Division Hamirpur,Internal,As per eligibility criteria approved in the minutes of meeting held on 17.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 8928-31-dated 17.06.2022,Rakesh Kumar Thakur,18-Jun-2022 10:41 AM,18-Jun-2022 10:45 AM,techsummary_91142.pdf (930.17 KB),28-Sep-2022,"INR 275,755,698",365.0,Rakesh Kumar Thakur,29-Sep-2022 10:39 AM,AOCChowki.pdf (1057.00 KB),AOC,Technical,As per eligibility criteria approved in the minutes of meeting held on 17.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 8928-31-dated 17.06.2022,Rakesh Kumar Thakur,17-Jun-2022 02:40 PM,technical_91142.pdf,Finance,As per eligibility criteria approved in the minutes of meeting held on 17.06.2022 in the chamber of the Chief Engineer JS Department Hamirpur vide No 8928-31-dated 17.06.2022,Rakesh Kumar Thakur,18-Jun-2022 03:54 PM,finance_91142.pdf,BOQ Comparative Chart,AOC
,,,,.pdf,The cost of tender form as per NIT condition No. 2-ii,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,2.0,Pre bid,Technical Bid,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,283173.0,Kashmirilal Constructions Pvt. Ltd.,21-May-2022 06:10 PM,Rejected-AOC,L3,29-Sep-2022 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,(iii) Copy of Certificate of registration as per NIT condition No. 2-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,283217.0,Unipro Techno Infrastructure Pvt Ltd,21-May-2022 04:14 PM,Rejected-AOC,L2,29-Sep-2022 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of Certificate of EPF registration as per NIT condition No. 2-iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Annual Turnover of three years as per NIT condition No. 3-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,3. Pre-qualification criteria proof as per NIT condition No. 3-a-b Note I-ii-iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Definition of similar work as per NIT condition No. 1 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PAN - GST and EPF registration further required copy as per NIT condition No.3-c-d-e-f-g be uploade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,PreQual/Technical,.pdf,Technical bid as per NIT condition No. 4-a-b-and c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,3.0,Finance,.xls,Quantity-BOQ where bidder -firms shall quote his -their offer for each item.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
