S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
1.0,DD - Demand Draft,"1,60,000",Yes,fixed,,EE PWD B P S T R Division,EE PWD B P S T R Division,"2,400",ASRB,GUWAHATI,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of BID,Public Works Roads Department,SENL/NIT/399/B/2018-19/1520,2020_PWD_18873_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"S.E. PWD Nalbari Road Circle, Nalbari","S.E. PWD Nalbari Road Circle, Nalbari",SENL/SOPD-G/2020-21/BAR-56 (Gohaikamal Ali Road to ADP Bazar under SOPD -G),"Construction of road (PC SC) from Gohaikamal Ali Road to ADP Bazar under SOPD -G for the year 2020-21, Bhawanipur LAC",Please refer Tender documents. ,NA ,"80,00,000",Civil Works – Roads,NA ,Tender,180.0,180.0,"S.E. PWD Nalbari Road Circle, Nalbari",781335.0,NA ,NA ,NA ,"S.E. PWD Nalbari Road Circle, Nalbari",No ,No,09-Oct-2020 11:00 AM,19-Oct-2020 11:00 AM,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,09-Oct-2020 11:00 AM ,16-Oct-2020 02:00 PM ,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,28-Oct-2020 02:00 PM,AOC,Technical,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 01:46 PM,technical_29204.pdf,Public Works Roads Department,2020_PWD_18873_2,SENL/NIT/399/B/2018-19/1520,SENL/SOPD-G/2020-21/BAR-56 (Gohaikamal Ali Road to ADP Bazar under SOPD -G),1,95529,ABBASUZ ZAMAN,15-Oct-2020 08:12 PM,Rejected-AOC,L1,18-Mar-2021 04:46 PM,Debesh Chakravarty,Internal,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 01:50 PM,28-Oct-2020 02:00 PM,techsummary_29204.pdf (505.08 KB),AOC
2.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,.pdf,BID Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,95486,AMINUL ISLAM,15-Oct-2020 11:23 AM,Rejected-AOC,L1,18-Mar-2021 04:46 PM,,,,,,,,AOC
3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3,95499,Bikash Ranjan Das,15-Oct-2020 01:27 PM,Rejected-AOC,L1,18-Mar-2021 04:46 PM,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Technical Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,4,95535,BIRENDRA KUMAR PRASAD,15-Oct-2020 08:53 PM,Rejected-AOC,L1,18-Mar-2021 04:46 PM,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,5,95383,Dilip Barman,13-Oct-2020 06:04 PM,Rejected-Technical,Reject,28-Oct-2020 01:50 PM,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,6,95404,Ganesh Daimary,14-Oct-2020 11:14 AM,Rejected-AOC,L2,18-Mar-2021 04:46 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,7,95561,Jyotish Das,16-Oct-2020 11:47 AM,Accepted-AOC,L1,18-Mar-2021 04:46 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,8,95410,KALYAN BAISHYA,14-Oct-2020 11:21 AM,Rejected-Technical,Reject,28-Oct-2020 01:50 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,9,95415,SHRI SUSHANTA KUMAR NAYAK,14-Oct-2020 11:33 AM,Rejected-Technical,Reject,28-Oct-2020 01:50 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,10,95516,Sofiqul Islam,15-Oct-2020 04:04 PM,Rejected-AOC,L1,18-Mar-2021 04:46 PM,,,,,,,,AOC
