Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Public Works Roads Department,2020_PWD_18218_1,CE/APART/40/2020/7,APART/NOCP/ ROADS/NL-07 (Construction of road from Moranjan to Pagladiya embankment of 3 no Balitara village Paschim Banbhag Mouza in Nalbari District),Technical,Tender has been opened,PALLAVI CHAKRAVORTY,09-Dec-2020 07:48 PM,,1,87330,Dhaneswar Kalita,27-Aug-2020 03:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,29-Jul-2020 04:00 PM,28-Aug-2020 02:30 PM,29-Jul-2020 04:15 PM,28-Aug-2020 02:00 PM,29-Jul-2020 04:15 PM ,11-Aug-2020 11:00 AM ,29-Jul-2020 05:00 PM,28-Aug-2020 02:00 PM,11-Dec-2020 02:30 PM,"Chief Engineer,PWRD (EAP),Assam","O/o The Chief Engineer,PWRD (EAP),Assam Fatasil Ambari,Guwahti-781025",Public Works Roads Department,CE/APART/40/2020/7,2020_PWD_18218_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,APART/NOCP/ ROADS/NL-07 (Construction of road from Moranjan to Pagladiya embankment of 3 no Balitara village Paschim Banbhag Mouza in Nalbari District),Construction of road from Moranjan to Pagladiya embankment of 3 no Balitara village Paschim Banbhag Mouza in Nalbari District (Length-0.805 KM),Please refer Tender Documents ,NA ,"86,86,000",Civil Works – Roads,NA ,Tender,90.0,360.0,Nalbari District,781337.0,"O/o The Chief Engineer,PWRD (EAP),Assam ","O/o The Chief Engineer,PWRD (EAP),Assam Fatasil Ambari,Guwahti-781025 ",11-Aug-2020 11:00 AM ,"O/o The Chief Engineer,PWRD (EAP),Assam",No ,No,"1,73,720",No,fixed,,"Chief Engineer,PWRD (EAP),Assam",GUWAHATI,1.0,BG - Bank Guarantee Irrevocable,"5,000","State Project Director,ARIAS SOCIETY",GUWAHATI,No,AOC
,,,,,,,,,2,87393,Gajraj Enterprises,28-Aug-2020 11:57 AM,Rejected-Finance,Rejected asL2,24-Dec-2020 01:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,AOC
,,,,,,,,,3,87273,KAMALA KANTA KHAKLARY,26-Aug-2020 06:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,87355,M/S DEKA ENTERPRISE,28-Aug-2020 12:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,87292,M/S SUNRISE ENTERPRISE,27-Aug-2020 12:52 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,87376,Nipul Kalita,28-Aug-2020 10:59 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,87325,PRABIR KALITA,28-Aug-2020 01:57 PM,Accepted-AOC,Awarded Contract Bidder,18-Mar-2021 01:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,87390,PRADIPTA CHOUDHURY,28-Aug-2020 11:41 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,87045,Rana Construction and Engineers Pvt. Ltd.,23-Aug-2020 07:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,86282,SAHIL AKHTAR,28-Aug-2020 04:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,87309,Sri Dhrubajyoti Kakati,28-Aug-2020 10:56 AM,Rejected-Finance,Rejected as L3,24-Dec-2020 01:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,87365,TRADE AND TECHNOLOGY,28-Aug-2020 02:09 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Dec-2020 07:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
