Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
"E.E. HP.PWD., Bhoranj Division",Internal,Summary attached,Amar Singh Bhatia,01-Oct-2020 05:24 PM,finsummary_59531.pdf (885.50 KB),09-Mar-2021,"INR 1,106,948",60.0,Virender Singh Guleria,09-Mar-2021 11:55 AM,ALGhumarwini.PDF (334.00 KB),AWARD LETTER ATTACHED,PWD,2020_PWD_40305_1,Construction of link Harizan Basti Ghumarwin Km. 0,Construction of link Harizan Basti Ghumarwin Km. 0.0 to1.500,E.E. HP.PWD. Bhoranj Division,Internal,SupdtGr-II DAO HDM A.E. Bhoranj,Amar Singh Bhatia,25-Sep-2020 04:11 PM,26-Sep-2020 11:30 AM,techsummary_59531.pdf (957.32 KB),Finance,Summary attached,Amar Singh Bhatia,01-Oct-2020 05:19 PM,finance_59531.pdf,BOQ Comparative Chart,1.0,176986.0,M/S RAKESH KUMAR,INR,"1,106,948",Technical,Summary attached,Amar Singh Bhatia,25-Sep-2020 04:08 PM,technical_59531.pdf,1.0,177005.0,KAMAL PATHANIA GOVT.CONTRACTOR,10-Sep-2020 06:24 AM,Rejected-AOC,L2,09-Mar-2021 11:55 AM,AOC,PWD,Construction of link Harizan Basti Ghumarwin Km. 0,2020_PWD_40305_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Construction of link Harizan Basti Ghumarwin Km. 0.0 to1.500,Construction of retaining wall breast wall at various RDs and Construction of 900mm dia Hume pipe culvert at RD 0.870 alongwin wing wall U.S and D.S Under SCSP,Please refer Tender documents. ,NA ,"9,55,777",Civil Works - Roads,NA ,Tender,120.0,60.0,Bhoranj,176065.0,NA ,NA ,NA ,"HPPWD., Division Bhoranj",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,350.0,EE Bhoranj,Bhoranj,Yes,03-Sep-2020 02:20 PM,10-Sep-2020 11:30 AM,03-Sep-2020 02:25 PM,10-Sep-2020 10:30 AM,NA ,NA ,03-Sep-2020 02:25 PM,10-Sep-2020 10:30 AM,26-Sep-2020 11:30 AM,"20,000",Yes,fixed,,EE Bhoranj,Bhoranj,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,176986.0,M/S RAKESH KUMAR,09-Sep-2020 07:03 PM,Accepted-AOC,L1,09-Mar-2021 11:55 AM,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,176932.0,Sureshkumar,09-Sep-2020 03:24 PM,Rejected-AOC,L3,09-Mar-2021 11:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,AOC
