Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
PWD,2020_PWD_43397_1,Job 7 Construction of link road to Satsang Ghar La,"Job 7 Construction of link road to Satsang Ghar Lalri via Harijan Basti km.0-0 to 1-370 Sub Head Edge wall at RD.0-650 to 0-765 Back side ,0-765 to 0-990 RHS and P.L Premix carpet with seal coat at RD.0-650 to 1-115 SCCP",Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,29-Dec-2020 12:52 PM,technical_64371.pdf,1.0,193989.0,HARDYAL SINGH GOVT. CONTRACTOR,27-Dec-2020 07:35 PM,Accepted-AOC,ok,01-Mar-2021 05:34 PM,AOC,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,Job 7 Construction of link road to Satsang Ghar La,2020_PWD_43397_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","Job 7 Construction of link road to Satsang Ghar Lalri via Harijan Basti km.0-0 to 1-370 Sub Head Edge wall at RD.0-650 to 0-765 Back side ,0-765 to 0-990 RHS and P.L Premix carpet with seal coat at RD.0-650 to 1-115 SCCP","Job 7 Construction of link road to Satsang Ghar Lalri via Harijan Basti km.0-0 to 1-370 Sub Head Edge wall at RD.0-650 to 0-765 Back side ,0-765 to 0-990 RHS and P.L Premix carpet with seal coat at RD.0-650 to 1-115 SCCP",Please refer to Bidding Documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,22-Dec-2020 10:00 AM,28-Dec-2020 11:00 AM,22-Dec-2020 10:30 AM,28-Dec-2020 09:00 AM,NA ,NA ,22-Dec-2020 10:30 AM,28-Dec-2020 09:00 AM,18-Jan-2021 10:00 AM,"27,100",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,AOC
,,,,,,,,,2.0,193657.0,Rishi Kumar,26-Dec-2020 05:38 PM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,14-Jan-2021 04:27 PM,AOC,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,193976.0,Rohit Rana,27-Dec-2020 05:31 PM,Rejected-AOC,ok,01-Mar-2021 05:34 PM,AOC,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
