Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"The Chief Engineer,PWRD(EAP),Assam","O/o The Chief Engineer,PWRD(EAP),Assam,Fatasil Ambari,Guwahati-781025",01-Jun-2020 06:25 PM,10-Aug-2020 02:30 PM,01-Jun-2020 06:25 PM,10-Aug-2020 02:00 PM,01-Jun-2020 06:30 PM ,15-Jun-2020 11:00 AM ,01-Jun-2020 06:30 PM,10-Aug-2020 02:00 PM,06-Nov-2020 02:30 PM,1.0,Corrigendum-7,Date,,"1,78,660",No,fixed,,"Chief Engineer,PWRD(EAP),Assam",GUWAHATI,1.0,BG - Bank Guarantee Irrevocable,Public Works Roads Department,CE/APART/02/2020/18,2020_PWD_17746_10,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"5,000","State Project Director,ARIAS SOCIETY",GUWAHATI,No,APART/NOCP/ ROADS/NGN-05,Construction of road from Pahupuri Khaiti to Hugaltoli in Nagaon district (Length -0.72 K.M),Please refer Tender Documents ,NA ,"89,33,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Nagaon District,782103.0,"O/o The Chief Engineer,PWRD(EAP),Assam ","O/o The Chief Engineer,PWRD(EAP),Assam,Fatasil Ambari,Guwahati-781025 ",15-Jun-2020 11:00 AM ,"O/o The Chief Engineer,PWRD(EAP),Assam",No ,No,1.0,Fee/PreQual/Technical,.pdf,EMD,AOC,Public Works Roads Department,2020_PWD_17746_10,CE/APART/02/2020/18,APART/NOCP/ ROADS/NGN-05,"Chief Engineer,PWRD,(EAP),Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,29-Dec-2020 05:24 PM,finsummary_27369.pdf (661.17 KB),1,86097,AFTAB UDDIN AHMED,09-Aug-2020 11:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,"Chief Engineer,PWRD,(EAP),Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,04-Nov-2020 07:32 PM,06-Nov-2020 02:30 PM,techsummary_27369.pdf (162.01 KB),Technical,Accepted Bids 4 and Rejected Bids 10,PALLAVI CHAKRAVORTY,04-Nov-2020 07:30 PM,technical_27369.pdf,1.0,86067.0,Pabitra Boro,INR,7355625.0,Finance,Financial Proposal has been opened,PALLAVI CHAKRAVORTY,12-Nov-2020 02:26 PM,,BOQ Comparative Chart,30-Dec-2020,INR 7355625.0,270.0,PALLAVI CHAKRAVORTY,04-Mar-2021 04:31 PM,Agreement_NGN_05.pdf (72.00 KB),AOC
,,,,,,,,,,,2.0,Corrigendum-8,Financial Bid,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC,,,,,,,,,,,2,86105,Ananta Baruah,10-Aug-2020 01:40 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3.0,Corrigendum-4,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,AOC,,,,,,,,,,,3,86168,ARIFUR RAHMAN,10-Aug-2020 01:34 PM,Rejected-Finance,Rejected as L2,29-Dec-2020 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,AOC,,,,,,,,,,,4,86164,BBS CONSTRUCTION,10-Aug-2020 01:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),AOC,,,,,,,,,,,5,85035,Md. AsabUddin Choudhury,10-Aug-2020 11:11 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Letter of Bid (Financial),AOC,,,,,,,,,,,6,86163,MS GANGOTRI ENTERPRISE,10-Aug-2020 01:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,7,85125,M/S STYLE COMMUNICATION,21-Jul-2020 12:53 PM,Rejected-Finance,Rejected as L4,29-Dec-2020 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,8,84212,MS Unique Construction,07-Aug-2020 02:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,9,86049,NIZAMUDDIN AHMED,09-Aug-2020 01:59 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,10,86067,Pabitra Boro,10-Aug-2020 08:46 AM,Accepted-AOC,Awarded Contract Bidder,04-Mar-2021 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,11,86074,Ramesh Kr Agarwalla,09-Aug-2020 04:55 PM,Rejected-Finance,Rejected as L3,29-Dec-2020 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,12,85202,SAURAV PHUKAN,10-Aug-2020 11:21 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,13,86052,SHAHI MD. KARIM,09-Aug-2020 08:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,14,86141,SRI PRANAB BARMAN,10-Aug-2020 12:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Nov-2020 07:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
