EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,00,000",Yes,fixed,,As mentiond in the E-Tender.,As mentiond in the E-Tender.,Health and Family Welfare Department||Directorate of Medical Education-HFWD,DME/20/ICU-GMCH/2020/1293 dt 01/02/2020,2020_HFWD_16288_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"DME, ASSAM, Sixmile, Khanapara,","DME, ASSAM, Sixmile, Khanapara,",1.0,Fee/PreQual/Technical,.pdf,pre Qualification,"5,000",As mentiond in the E-Tender.,As mentiond in the E- Tender.,No,04-Feb-2020 06:50 PM,18-Mar-2020 03:00 PM,04-Feb-2020 06:55 PM,18-Mar-2020 02:00 PM,NA ,NA ,14-Feb-2020 02:00 PM,18-Mar-2020 02:00 PM,01-Apr-2020 05:30 PM,Supply and Installation of Hospital Furniture for 50 bedded ICU at GMCH Guwahati and all Medical College Hospitals Dental Colleges of Assam,"Supply and Installation of Hospital Furniture for 50 bedded ICU at GMCH, Guwahati and all Medical College Hospitals , Dental Colleges of Assam",Please refer Tender documents. ,NA ,"2,00,00,000",Medical Equipments/Waste,NA ,Tender,365.0,21.0,"GMCH, Guwahati, Kamrup, Assam, India",781032.0,"DME, ASSAM, Sixmile, Khanapara ","DME, ASSAM, Sixmile, Khanapara, Guwahati ",13-Feb-2020 11:00 AM ,"DME, ASSAM, Sixmile, Khanapara,",No ,No,1.0,Corrigendum for Bid Submission Date,Date,,AOC,1,78556,Brahmaputra Automobiles Pvt. Ltd,16-Mar-2020 12:42 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2020_HFWD_16288_1,DME/20/ICU-GMCH/2020/1293 dt 01/02/2020,Supply and Installation of Hospital Furniture for 50 bedded ICU at GMCH Guwahati and all Medical College Hospitals Dental Colleges of Assam,AOC
,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum for Tech Specification and Tender Terms,Technical Bid,,AOC,2,77340,FAMA MARKETING,16-Mar-2020 12:13 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,78487,Godrej and Boyce Mfg Co Ltd,18-Mar-2020 12:12 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,.pdf,Supplementary BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,77382,ITAS G. PHARMA,18-Mar-2020 12:18 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,77184,Joganiar,14-Mar-2020 04:29 PM,Rejected-Technical,As per minutes of the Technical Committee Meeting,01-Apr-2020 05:24 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,77246,Jyoti Pharmaceuticals,16-Mar-2020 12:01 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,78578,MAINDEOR ENTERPRISE,18-Mar-2020 12:27 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,77317,M B Traders,16-Mar-2020 11:41 AM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,78576,M/s Bhola Drugs and Surgicals,16-Mar-2020 12:10 PM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,77355,M/s Marak Supply and Agencies,18-Mar-2020 12:33 AM,Accepted-AOC,AS per finance Committee meeting,01-Mar-2021 12:58 PM,,,,,AOC
