Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
09-Oct-2020 11:00 AM,19-Oct-2020 11:00 AM,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,09-Oct-2020 11:00 AM ,16-Oct-2020 02:00 PM ,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,28-Oct-2020 02:30 PM,Public Works Roads Department,SENL/NIT/399/B/2018-19/1520,2020_PWD_18873_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of BID,SENL/SOPD-G/2020-21/BAR-58 (MPNA Road to Galia Sukmanah Road under SOPD -G),"Construction of road (ICBP) from MPNA Road to Galia Sukmanah Road under SOPD -G for the year 2020-21, Bhawanipur LAC",Please refer Tender documents. ,NA ,"70,00,000",Civil Works – Roads,NA ,Tender,180.0,180.0,S. E. PWD Nalbari Road Circle Nalbari,781335.0,NA ,NA ,NA ,S. E. PWD Nalbari Road Circle Nalbari,No ,No,"1,40,000",Yes,fixed,,E E PWD B P S T R Division,E E PWD B P S T R Division,S. E. PWD Nalbari Road Circle Nalbari,S. E. PWD Nalbari Road Circle Nalbari,"2,100",ASRB,GUWAHATI,Yes,1.0,DD - Demand Draft,AOC,Technical,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 02:07 PM,technical_29206.pdf,Debesh Chakravarty,Internal,Verified,DEBESH CHAKRAVARTY,10-Nov-2020 02:48 PM,finsummary_29206.pdf (265.88 KB),Finance,Verified,DEBESH CHAKRAVARTY,10-Nov-2020 02:39 PM,finance_29206.pdf,BOQ Comparative Chart,Debesh Chakravarty,Internal,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 02:12 PM,28-Oct-2020 02:30 PM,techsummary_29206.pdf (586.91 KB),10-Nov-2020,INR 6300000.0,180.0,DEBESH CHAKRAVARTY,18-Mar-2021 04:53 PM,AOC.pdf (208.00 KB),Verified,1,95521,bhairab brahma,15-Oct-2020 07:13 PM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,1.0,95548.0,Biswajit Medhi,INR,6300000.0,Public Works Roads Department,2020_PWD_18873_4,SENL/NIT/399/B/2018-19/1520,SENL/SOPD-G/2020-21/BAR-58 (MPNA Road to Galia Sukmanah Road under SOPD -G),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95494,Bikash Ranjan Das,15-Oct-2020 01:33 PM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,95548,Biswajit Medhi,15-Oct-2020 11:44 PM,Accepted-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,95403,Ganesh Daimary,14-Oct-2020 11:11 AM,Rejected-AOC,L2,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,95560,GANESH KALITA,16-Oct-2020 11:39 AM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,95559,Haripriya Hazarika,16-Oct-2020 11:39 AM,Rejected-Technical,Reject,28-Oct-2020 02:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,95565,Jyotish Das,16-Oct-2020 11:57 AM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,95408,KALYAN BAISHYA,14-Oct-2020 11:22 AM,Rejected-AOC,L3,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,95554,Mahirul Islam,16-Oct-2020 02:08 AM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,95485,MAZIBAR RAHMAN,14-Oct-2020 09:04 PM,Rejected-AOC,L1,18-Mar-2021 04:53 PM,,,,,,,,,,AOC
