Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,PW-KD/E-TENDER/2020 - 21 -857-59 DT 15.6.20,2020_PWD_38274_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,22-Jun-2020 01:00 PM,15-Jul-2020 11:00 AM,22-Jun-2020 01:00 PM,14-Jul-2020 06:30 PM,NA ,NA ,22-Jun-2020 01:00 PM,14-Jul-2020 06:30 PM,18-Jul-2020 02:40 PM,Annual Maintenance Plan on Gumma Pujarli Baghi road K.M. 0/0 to 28/545,SH Providing and layaing 30 mm bituminous concrete including profile correction in K.M. 19/00 to 28/545,Please refer Tender documents. ,NA ,"95,68,390",Civil Works - Roads,NA ,Tender,120.0,60.0,KOTKHAI,171202.0,NA ,NA ,NA ,KOTKHAI,No ,No,"1,28,200",No,fixed,,EE KOTKHAI,KOTKHAI,EE KOTKHAI,HPPWD KOTKHAI,"2,000",EE KOTKHAI,KOTKHAI,No,1.0,Change In Estimated Cost,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC,Er. Atul Jyoti Gazta,Internal,,Prem Pal Sharma,18-Jul-2020 02:37 PM,18-Jul-2020 02:40 PM,techsummary_56531.pdf (453.03 KB),PWD,2020_PWD_38274_2,PW-KD/E-TENDER/2020 - 21 -857-59 DT 15.6.20,Annual Maintenance Plan on Gumma Pujarli Baghi road K.M. 0/0 to 28/545,15-Mar-2021,"INR 9,568,390",60.0,Prem Pal Sharma,15-Mar-2021 04:24 PM,AOC.pdf (946.00 KB),AOC,Er. Atul Jyoti Gazta,Internal,,Prem Pal Sharma,15-Mar-2021 04:22 PM,finsummary_56531.pdf (19.74 KB),1.0,167519.0,P K Construction Shimla Pvt Ltd,14-Jul-2020 05:19 PM,Rejected-Finance,L-2 BIDDER,15-Mar-2021 04:22 PM,Technical,Technical Bid Opening Summary,Prem Pal Sharma,18-Jul-2020 02:34 PM,technical_56531.pdf,1.0,167266.0,Rajinder Singh Negi,INR,"16,906,474",Finance,Financial Bid Opening Summary,Prem Pal Sharma,18-Jul-2020 04:26 PM,finance_56531.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,167266.0,Rajinder Singh Negi,14-Jul-2020 04:29 PM,Accepted-AOC,L-1 BIDDER,15-Mar-2021 04:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
