EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,26,650",Yes,fixed,,Executive Engineer HP PWD Divison Tanda,Tanda at Nagrota Bagwan,PWD,PWD Civil Work-7233-63- Tanda,2020_PWD_41606_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of 25.00 mtrs span RCC Box Girder Bridge over Bhaloon Khad on link road from Baldhar to Bheru at RD 0/528 in Distt Kangra (Himachal Pradesh) Under SCSP (SH-Construction of Sub-Structure, Super Structure and both side approaches).","Construction of 25.00 mtrs span RCC Box Girder Bridge over Bhaloon Khad on link road from Baldhar to Bheru at RD 0/528 in Distt Kangra (Himachal Pradesh) Under SCSP (SH-Construction of Sub-Structure, Super Structure and both side approaches).",Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,12-Nov-2020 12:40 PM,23-Nov-2020 12:30 PM,12-Nov-2020 12:40 PM,23-Nov-2020 11:00 AM,NA ,NA ,12-Nov-2020 12:40 PM,23-Nov-2020 11:00 AM,07-Dec-2020 11:30 AM,Executive Engineer,Executive Engineer HP PWD Division Tanda,"2,000",Executive Engineer HP PWD Divison Tanda,kangra,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,AOC,Finance,Sum,Suresh Kumar Walia,17-Mar-2021 02:45 PM,finance_62874.pdf,BOQ Comparative Chart,1.0,188668.0,CANTILEVER CONSTRUCTIONS PRIVATE LIMITED,INR,"11,021,744",1.0,188668.0,CANTILEVER CONSTRUCTIONS PRIVATE LIMITED,21-Nov-2020 01:19 PM,Accepted-AOC,L1,17-Mar-2021 03:07 PM,Technical,Sum,Suresh Kumar Walia,03-Dec-2020 11:15 AM,technical_62874.pdf,PWD,2020_PWD_41606_2,PWD Civil Work-7233-63- Tanda,"Construction of 25.00 mtrs span RCC Box Girder Bridge over Bhaloon Khad on link road from Baldhar to Bheru at RD 0/528 in Distt Kangra (Himachal Pradesh) Under SCSP (SH-Construction of Sub-Structure, Super Structure and both side approaches).",Dr Suresh Kumar Walia,Internal,Er Surinder AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,03-Dec-2020 11:20 AM,07-Dec-2020 11:30 AM,techsummary_62874.pdf (682.26 KB),Dr Suresh Kumar Walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Mar-2021 02:53 PM,finsummary_62874.pdf (253.17 KB),17-Mar-2021,"INR 11,021,744",365.0,Suresh Kumar Walia,17-Mar-2021 03:07 PM,Award.pdf (394.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money in shape of FDR as per SBD,AOC,,,,,,,,,,,,2.0,188757.0,individual,22-Nov-2020 04:56 PM,Rejected-Finance,Lowest 2,17-Mar-2021 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC,,,,,,,,,,,,3.0,188765.0,Surinder Sharma Govt Contractor,22-Nov-2020 06:19 PM,Rejected-Finance,Lowest 4,17-Mar-2021 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,4.0,188741.0,Ujjawal Singh,22-Nov-2020 01:56 PM,Rejected-Finance,Lowest 3,17-Mar-2021 02:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity a/w Balance sheets for the last 5 year duly signed by C.A,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof of sole ownership,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand detail,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
