EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
"1,58,282",Yes,percentage,2.0%,Assam Police Housing Corporation Ltd.,Guwahati,1.0,DD - Demand Draft,"5,000",Assam Police Housing Corporation Ltd.,Guwahati,No,21-May-2020 04:00 PM,02-Jun-2020 02:30 PM,21-May-2020 04:00 PM,02-Jun-2020 02:00 PM,NA ,NA ,21-May-2020 04:00 PM,02-Jun-2020 02:00 PM,12-Jun-2020 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,Assam Police Housing Corporation Ltd,APHC/CS/35/2019-20_NorthGHY,2020_APHC_17632_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Chief Engineer,Assam Police Housing Corporation Ltd Rehabari Guwahati 8,"Construction of RCC 2- storied PS Building with provision of Reception, Conference Hall etc. in existing Police Station at North Guwahati P.S in Kamrup District under MOITRI scheme. (Balance Work)","Construction of RCC 2- storied PS Building with provision of Reception, Conference Hall etc. in existing Police Station at North Guwahati P.S in Kamrup District under MOITRI scheme. (Balance Work)",Please refer Tender documents. ,NA ,"79,14,099",Civil Works - Building,NA ,Tender,120.0,360.0,North Guwahati P.S in Kamrup District,781030.0,NA ,NA ,NA ,Assam Police Housing Corporation Ltd.,No ,No,AOC,Finance,Financial Bid has opened,Nripendra Nath Deka,26-Mar-2021 03:18 PM,,BOQ Comparative Chart,Technical,Minutes,Nripendra Nath Deka,11-Jun-2020 05:42 PM,technical_27135.pdf,Assam Police Housing Corporation Ltd,2020_APHC_17632_1,APHC/CS/35/2019-20_NorthGHY,"Construction of RCC 2- storied PS Building with provision of Reception, Conference Hall etc. in existing Police Station at North Guwahati P.S in Kamrup District under MOITRI scheme. (Balance Work)",1,81994,M/S ANSARI AND COMPANY,02-Jun-2020 11:47 AM,Rejected-Technical,Technically Non Responsive,11-Jun-2020 06:14 PM,Chief Engineer,Internal,List Uploaded,Nripendra Nath Deka,11-Jun-2020 06:14 PM,12-Jun-2020 12:00 PM,techsummary_27135.pdf (271.60 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,81614,M/S Choudhury Engineering Works,02-Jun-2020 11:38 AM,Rejected-Technical,Technically Non Responsive,11-Jun-2020 06:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,81463,M/S M.D. ENTERPRISE,02-Jun-2020 09:49 AM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,82058,M/s Prajjalita Associates,02-Jun-2020 12:41 PM,Accepted-AOC,Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,81971,M/S SHRISTY ENTERPRISE,01-Jun-2020 04:35 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,81972,M/S S.I. Engineering Construction,01-Jun-2020 05:04 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,82080,PRAGJYOTIS BUILDERS AND CONSULTANT PVT LTD,02-Jun-2020 01:44 PM,Rejected-Technical,Technically Non Responsive,11-Jun-2020 06:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,80787,r r enterprise,31-May-2020 12:13 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,82044,SHIV CONSTRUCTION,02-Jun-2020 11:13 AM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,81998,S H PRODUCTION AND ASSOCIATES,02-Jun-2020 12:11 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:29 PM,,,,,,,,AOC
