Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of BID,09-Oct-2020 11:00 AM,19-Oct-2020 11:00 AM,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,09-Oct-2020 11:00 AM ,16-Oct-2020 02:00 PM ,09-Oct-2020 11:00 AM,16-Oct-2020 02:00 PM,28-Oct-2020 02:30 PM,Public Works Roads Department,SENL/NIT/399/B/2018-19/1520,2020_PWD_18873_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"1,40,000",Yes,fixed,,E E PWD B P S T R Division,E E PWD B P S T R Division,"S.E. PWD Nalbari ROad Circle, Nalbari","S.E. PWD Nalbari ROad Circle, Nalbari","2,100",ASRB,GUWAHATI,Yes,SENL/SOPD-G/2020-21/BAR-57 ( Batua to Manash PWD Road at Batua under SOPD -G),"Construction of road (PC SC) from Batua to Manash PWD Road at Batua under SOPD -G for the year 2020-21, Bhawanipur LAC.",Please refer Tender documents. ,NA ,"70,00,000",Civil Works – Roads,NA ,Tender,180.0,180.0,"S.E. PWD Nalbari ROad Circle, Nalbari",781335.0,NA ,NA ,NA ,"S.E. PWD Nalbari ROad Circle, Nalbari",No ,No,AOC,Technical,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 01:55 PM,technical_29205.pdf,1,95573,Anil Kumar Das,16-Oct-2020 12:28 PM,Rejected-AOC,L1,18-Mar-2021 04:36 PM,Public Works Roads Department,2020_PWD_18873_3,SENL/NIT/399/B/2018-19/1520,SENL/SOPD-G/2020-21/BAR-57 ( Batua to Manash PWD Road at Batua under SOPD -G),Debesh Chakravarty,Internal,Verified,DEBESH CHAKRAVARTY,28-Oct-2020 02:01 PM,28-Oct-2020 02:30 PM,techsummary_29205.pdf (548.33 KB),AOC
,,.pdf,BID Security,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,95532,BIRENDRA KUMAR PRASAD,15-Oct-2020 08:41 PM,Rejected-AOC,L1,18-Mar-2021 04:36 PM,,,,,,,,,,,,AOC
,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,95544,Biswajit Medhi,15-Oct-2020 11:03 PM,Rejected-Technical,Reject,28-Oct-2020 02:01 PM,,,,,,,,,,,,AOC
,,.pdf,Technical Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,95479,Jyotiraj Deka,15-Oct-2020 06:51 PM,Rejected-Technical,Reject,28-Oct-2020 02:01 PM,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,95378,MANIN BORO,13-Oct-2020 04:21 PM,Rejected-Technical,Reject,28-Oct-2020 02:01 PM,,,,,,,,,,,,AOC
,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,95550,Pradip Ch. Pathak,15-Oct-2020 11:54 PM,Rejected-AOC,L1,18-Mar-2021 04:36 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,7,95464,PRADIPTA CHOUDHURY,14-Oct-2020 03:25 PM,Rejected-AOC,L1,18-Mar-2021 04:36 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,8,95558,Prasanta Bayan,16-Oct-2020 11:22 AM,Accepted-AOC,L1,18-Mar-2021 04:36 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,9,95568,RUPAK KALITA,16-Oct-2020 12:23 PM,Rejected-Technical,Reject,28-Oct-2020 02:01 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,10,95414,SHRI SUSHANTA KUMAR NAYAK,14-Oct-2020 11:29 AM,Rejected-Technical,Reject,28-Oct-2020 02:01 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,11,95549,SRI SAILENDRA KALITA,16-Oct-2020 12:04 AM,Rejected-AOC,L1,18-Mar-2021 04:36 PM,,,,,,,,,,,,AOC
