S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,63694.0,M/S S.S. ENTERPRISE,INR,6595.0,19-Mar-2021,INR 6595.0,365.0,Darendra Singha,19-Mar-2021 12:25 PM,pressurecooker.pdf (712.00 KB),Work Order,"Director, WPT and BC",Internal,"Director, WPT and BC, Joint Secretary of WPT and BC and Others",Sajen Langthasa,19-Sep-2019 11:55 PM,20-Sep-2019 09:00 AM,techsummary_21242.pdf (8008.79 KB),Finance,Financial opened,Darendra Singha,26-Dec-2019 10:17 PM,finance_21242.pdf,BOQ Comparative Chart,"Director, WPT and BC",Internal,,Sajen Langthasa,17-Mar-2021 11:24 AM,finsummary_21242.pdf (2149.02 KB),Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,2019_WPTBC_13749_1,"DW/NIT/765/2019-20/1, DTD. 19/07/2019",SUPPLY OF PRESSURE COOKER AND GAS STOVE,Technical,Technical Bids evaluated,Sajen Langthasa,19-Sep-2019 11:27 PM,technical_21242.pdf,1,63713,ASSAM GOVERNMENT MARKETING CORPORATION LTD.,23-Aug-2019 02:20 PM,Rejected-Technical,Technically rejected,19-Sep-2019 11:55 PM,AOC,1.0,Extension of dates,Date,,1.0,DD - Demand Draft,SUPPLY OF PRESSURE COOKER AND GAS STOVE,SUPPLY OF PRESSURE COOKER AND GAS STOVE,Please refer Tender documents. ,NA ,,Supply of Materials,NA ,Tender,270.0,365.0,ASSAM,781006.0,Guwahati ,"Directorate of WPT and BC, Assam, Rukmini Nagar, Guwahati 781006 ",08-Aug-2019 11:00 AM ,Guwahati,No ,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,"DW/NIT/765/2019-20/1, DTD. 19/07/2019",2019_WPTBC_13749_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"Director, WPT and BC, Assam","Director, WPT and BC, Assam, Rukmini Nagar, Guwahati 781006",31-Jul-2019 06:00 PM,23-Aug-2019 04:30 PM,31-Jul-2019 06:00 PM,23-Aug-2019 04:00 PM,NA ,NA ,09-Aug-2019 11:00 AM,23-Aug-2019 04:00 PM,20-Sep-2019 09:00 AM,"10,000","Director, WPT and BC, Assam",Guwahati,No,"1,00,000",No,fixed,,"Director, WPT and BC, Assam",Guwahati,AOC
2.0,63695.0,MRK Associates,INR,6595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,63707,BINOD DOLEY,23-Aug-2019 02:44 PM,Rejected-Technical,Technically rejected,19-Sep-2019 11:55 PM,AOC,2.0,Extension of dates,Other,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document signed and sealed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,63681,diganta gogoi,22-Aug-2019 05:52 PM,Rejected-AOC,Not Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,63709,Hrishita Private Limited,23-Aug-2019 03:28 PM,Rejected-Technical,Technically rejected,19-Sep-2019 11:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,63661,ITAS G. PHARMA,23-Aug-2019 02:34 PM,Rejected-Technical,Technically rejected,19-Sep-2019 11:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,63696,J. N. Trading,23-Aug-2019 10:12 AM,Rejected-AOC,Not Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63684,KRISHNA ENTERPRISE,22-Aug-2019 07:13 PM,Rejected-AOC,Not Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,63695,MRK Associates,23-Aug-2019 01:56 PM,Accepted-AOC,Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,63654,M/S AONGSHUMAN ENTERPRISE,22-Aug-2019 08:50 PM,Rejected-AOC,Not Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,63667,M/S DHIRAJ GOGOI,22-Aug-2019 11:39 PM,Rejected-AOC,Not Awarded,19-Mar-2021 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
