EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"1,19,000",Yes,fixed,,"The Chief Engineer, PWD, Assam, Chandmari",GUWAHATI,"1,800","Empowered Officer, ASRB",GUWAHATI,Yes,05-Jun-2020 04:00 PM,26-Jun-2020 11:00 AM,05-Jun-2020 04:00 PM,25-Jun-2020 02:00 PM,05-Jun-2020 04:00 PM ,25-Jun-2020 02:00 PM ,11-Jun-2020 02:00 PM,25-Jun-2020 02:00 PM,14-Sep-2020 04:45 PM,Public Works Roads Department,CE/DEV/TB/504/2019-20/30,2020_PWD_17808_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Chief Engineer, PWD, Roads, Assam, Chandma","O/o the Chief Engineer, PWD, Roads, Assam, Chandma, Guwahati-781003","SOPD_G_19_20_57_E Construction of Road from Wokha Goronga Church Road (from Ch. 1380.00 to 2210.00 m) under PWD Golaghat and Khumtai Territorial Road Division, under SOPD-G for the year 2019-20, Golaghat LAC.","SOPD_G_19_20_57_E Construction of Road from Wokha Goronga Church Road (from Ch. 1380.00 to 2210.00 m) under PWD Golaghat and Khumtai Territorial Road Division, under SOPD-G for the year 2019-20, Golaghat LAC.",Please refer Tender documents. ,NA ,"59,45,000",Civil Works,NA ,Tender,180.0,270.0,Golaghat,781003.0,"O/o the Chief Engineer, PWD, Roads, Assam, Chandma ","O/o the Chief Engineer, PWD, Roads, Assam, Chandma, Guwahati-781003 ",11-Jun-2020 12:00 PM ,"O/o the Chief Engineer, PWD, Roads, Assam, Chandma",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document,1.0,DD - Demand Draft,AOC,1.0,84173.0,MR PUNA BORA,INR,5350500.0,Public Works Roads Department,2020_PWD_17808_5,CE/DEV/TB/504/2019-20/30,"SOPD_G_19_20_57_E Construction of Road from Wokha Goronga Church Road (from Ch. 1380.00 to 2210.00 m) under PWD Golaghat and Khumtai Territorial Road Division, under SOPD-G for the year 2019-20, Golaghat LAC.",31-Mar-2021,INR 5350500.0,270.0,MRIDUL TALUKDAR,31-Mar-2021 04:11 PM,2020_PWD_17808_5.pdf (247.00 KB),CE PWD,Internal,,MRIDUL TALUKDAR,31-Mar-2021 04:09 PM,finsummary_27483.pdf (246.89 KB),Bibhuti Saikia,Internal,,BHUPEN SAHARIA,14-Sep-2020 04:44 PM,14-Sep-2020 04:45 PM,techsummary_27483.pdf (416.09 KB),Technical,Verified,BHUPEN SAHARIA,14-Sep-2020 04:43 PM,,1,83791,Asikur Rahman,20-Jun-2020 07:34 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,Finance,Financial opened,GAURI KANTA BARMAN,14-Sep-2020 05:25 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,84070,Bikramsen Gogoi,24-Jun-2020 12:29 AM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,3.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,83865,GOUTAM PINCHA,21-Jun-2020 08:11 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,4.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,84151,kaustav dutta,24-Jun-2020 09:28 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,83558,Md. Abdur Rahman,18-Jun-2020 09:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Sep-2020 04:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,84136,Mohinis Trade and Construction,24-Jun-2020 05:18 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,84173,MR PUNA BORA,25-Jun-2020 09:31 AM,Accepted-AOC,AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,84179,MS PARAG GOHAIN,25-Jun-2020 11:25 AM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,83826,Mustafa Hussain,24-Jun-2020 11:55 AM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,84051,Progyan Jyoti Bordoloi,23-Jun-2020 06:34 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,84156,Suryadip Hazarika,24-Jun-2020 11:28 PM,Rejected-AOC,NOT AWARDED,31-Mar-2021 04:11 PM,,,,,,,AOC
