Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"7,700","Empowered officer, ASRB",GUWAHATI,No,Public Works Roads Department,CE/DEV/TB/102/2020-21/3,2020_PWD_18384_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid Security,"IOC_Silchar_01 Improvement of Doloo- Moinarbond Road (Near IOC Depot, Length -300.00m) under IOC Deposit Fund for the year 2018-19 under Silchar and Udharbond Territorial Road Division","IOC_Silchar_01 Improvement of Doloo- Moinarbond Road (Near IOC Depot, Length -300.00m) under IOC Deposit Fund for the year 2018-19 under Silchar and Udharbond Territorial Road Division",Please refer Tender documents. ,NA ,"2,54,16,000",Civil Works,NA ,Tender,180.0,365.0,Cachar,788001.0,"O/o the Chief Engineer, PWD (Roads), Assam ","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, Guwahati, 781003 ",17-Aug-2020 12:00 PM ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,1.0,DD - Demand Draft,"5,08,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,13-Aug-2020 06:00 PM,01-Sep-2020 11:00 AM,13-Aug-2020 06:00 PM,31-Aug-2020 02:00 PM,13-Aug-2020 06:00 PM ,31-Aug-2020 02:00 PM ,17-Aug-2020 02:00 PM,31-Aug-2020 02:00 PM,08-Oct-2020 04:45 PM,"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, Guwahati, 781003",AOC,CE PWD,Internal,,MRIDUL TALUKDAR,31-Mar-2021 02:20 PM,finsummary_28379.pdf (280.27 KB),Public Works Roads Department,2020_PWD_18384_1,CE/DEV/TB/102/2020-21/3,"IOC_Silchar_01 Improvement of Doloo- Moinarbond Road (Near IOC Depot, Length -300.00m) under IOC Deposit Fund for the year 2018-19 under Silchar and Udharbond Territorial Road Division",Finance,Financial opened,Ratul Kumar Bez,08-Oct-2020 04:54 PM,,BOQ Comparative Chart,Technical,Verified,MRIDUL TALUKDAR,08-Oct-2020 04:38 PM,,Dilip Hazarika,Internal,,MRIDUL TALUKDAR,08-Oct-2020 04:40 PM,08-Oct-2020 04:45 PM,techsummary_28379.pdf (472.79 KB),31-Mar-2021,INR 22285872.5,365.0,MRIDUL TALUKDAR,31-Mar-2021 02:23 PM,IOC_SILCHAR_01.pdf (280.00 KB),1.0,87344.0,MS B K Construction,INR,22874400.0,1,87463,Abdul Munim Borbhuiya,31-Aug-2020 08:56 AM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid Document,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87428,Ambarish Roy,31-Aug-2020 12:19 PM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87419,Anamul Haque laskar,31-Aug-2020 11:35 AM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87042,Arindam Dutta,31-Aug-2020 12:32 PM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,87449,BHAVYA CONSTRUCTION,30-Aug-2020 09:10 PM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,87455,Bikask kar and Associates,31-Aug-2020 01:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Oct-2020 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87414,Jakir Hussain Borbhuiya,31-Aug-2020 11:25 AM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,87467,JANNAT ENTERPRISE,31-Aug-2020 11:51 AM,Rejected-AOC,REJECTED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,87344,MS B K Construction,27-Aug-2020 06:19 PM,Accepted-AOC,AWARDED,31-Mar-2021 02:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,87466,M.S. CONSTRUCTION,31-Aug-2020 10:38 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Oct-2020 04:38 PM,AOC
