S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,200359.0,Kapil Sharma,INR,"1,009,153",Finance,As per document attached,Tarlok Dhiman,10-Mar-2021 05:29 PM,finance_66648.pdf,BOQ Comparative Chart,Technical,As per document attached,Tarlok Dhiman,01-Mar-2021 03:58 PM,technical_66648.pdf,1.0,200359.0,Kapil Sharma,26-Feb-2021 12:30 PM,Accepted-AOC,L1,06-Apr-2021 06:28 PM,Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,18-Mar-2021 05:08 PM,finsummary_66648.pdf (536.67 KB),26-Mar-2021,"INR 1,009,153",90.0,Sushil Kumar Dhadwal,06-Apr-2021 06:27 PM,IMG.pdf (741.00 KB),SHRI KAPIL SHARMA,PWD,2021_PWD_44437_2,7457-86 dshala,Restoration of Rain Damages on link Road from Gaggal Chetru Dharamshala Mecleodganj Road MDR - 44 exepct NH Portion in Tehsil Dharamshala Distt. Kangra HP,Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,10-Mar-2021 04:39 PM,10-Mar-2021 04:40 PM,techsummary_66648.pdf (215.31 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,350.0,Nil,Nil,No,PWD,7457-86 dshala,2021_PWD_44437_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Feb-2021 09:00 AM,27-Feb-2021 11:00 AM,17-Feb-2021 09:00 AM,26-Feb-2021 05:00 PM,NA ,NA ,17-Feb-2021 09:00 AM,26-Feb-2021 05:00 PM,10-Mar-2021 04:40 PM,"12,450",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,Restoration of Rain Damages on link Road from Gaggal Chetru Dharamshala Mecleodganj Road MDR - 44 exepct NH Portion in Tehsil Dharamshala Distt. Kangra HP,SH - Balance work for construction of 3.00 mtrs. Span RCC Slab Culvet at RD 13/250,Please refer Tender documents. ,NA ,"6,20,348",Civil Works,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,ICICI BANK,1.0,corg,AOC,,AOC
,,,,,,,,,,,,,,,,2.0,200366.0,M/s Chamunda Holo Blocks Industries,26-Feb-2021 01:50 PM,Rejected-Finance,Due to higher bid,18-Mar-2021 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
