Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid opening summary,Sudhir Kumar Gupta,28-Jan-2021 05:03 PM,technical_64826.pdf,1.0,195972.0,Anuil Prasad,26-Jan-2021 10:56 AM,Rejected-Finance,3rd Lowest,23-Mar-2021 05:11 PM,Finance,Bid opening summary,Sudhir Kumar Gupta,01-Feb-2021 04:16 PM,finance_64826.pdf,BOQ Comparative Chart,1.0,195887.0,Mitter Dev Sharma,INR,"2,266,664",ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojkumarsupdtShRajkumarSrAssistant,Sudhir Kumar Gupta,23-Mar-2021 05:11 PM,finsummary_64826.pdf (95.41 KB),23-Mar-2021,"INR 1,950,323",90.0,Sudhir Kumar Gupta,23-Mar-2021 05:13 PM,AOC43634_2.pdf (109.00 KB),AOC,PWD,2021_PWD_43634_2,SD-I-CTR-2020-21- 19359 dated 31-12-2020,Construction of Parking and pakka path in Type-III and IV Qtrs at Kasumpti Shimla-9 (SH C/O parking for residence of type III set No 49 to 64 at Brock Hurst Shimla,ErSudhirGupta,Internal,ShMohinderkumarDMShManojkumarsupdtShRajkumarSrAssistant,Sudhir Kumar Gupta,30-Jan-2021 01:34 PM,01-Feb-2021 11:00 AM,techsummary_64826.pdf (112.29 KB),AOC,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,Construction of Parking and pakka path in Type-III and IV Qtrs at Kasumpti Shimla-9 (SH C/O parking for residence of type III set No 49 to 64 at Brock Hurst Shimla,Construction of Parking and pakka path in Type-III and IV Qtrs at Kasumpti Shimla-9 (SH C/O parking for residence of type III set No 49 to 64 at Brock Hurst Shimla,As per SBD ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,12-Jan-2021 06:00 PM,28-Jan-2021 11:00 AM,12-Jan-2021 06:00 PM,27-Jan-2021 04:00 PM,NA ,NA ,12-Jan-2021 06:00 PM,27-Jan-2021 04:00 PM,01-Feb-2021 11:00 AM,PWD,SD-I-CTR-2020-21- 19359 dated 31-12-2020,2021_PWD_43634_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"36,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form(as per Schedule F 6.3),AOC
,,,,,2.0,196053.0,Devi Prakash Sharma,27-Jan-2021 03:31 PM,Rejected-Finance,4th Lowest,23-Mar-2021 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC
,,,,,3.0,195921.0,KHAJAN SINGH,25-Jan-2021 04:59 PM,Rejected-Finance,5th Lowest,23-Mar-2021 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC
,,,,,4.0,195915.0,MADAN VERMA,27-Jan-2021 02:51 PM,Rejected-Finance,2nd Lowest,23-Mar-2021 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),AOC
,,,,,5.0,195887.0,Mitter Dev Sharma,22-Jan-2021 11:58 AM,Accepted-AOC,Awarded,23-Mar-2021 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC
