Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Chief Engineer(MZ) HPPWD Mandi,Internal,"S.E (D ) MZ, SE 1st Circle Mandi EE (bldg)MZ, EE SNR Planning Officer (Bldg) MZ Dy Cont. F and A MZ",Chaman Singh,19-Mar-2021 02:56 PM,finsummary_61763.pdf (482.63 KB),19-Mar-2021,"INR 55,555,500",540.0,Chaman Singh,19-Mar-2021 02:58 PM,AOCStaffQtrs.PDF (483.00 KB),AOC issued,PWD,2020_PWD_41860_1,PW-SNR-CB-E-Ten/20-11492-503 dt.5.10.2020,"Construction of 8 No. Type-II Quarters 24 No. Type-III Quarters and 08 No. Type-IV Quarters at Civil Hospital Sundernagar, Distt. Mandi (HP)",Er D.R. Chauhan Execuitve Engineer,Internal,Er N.R. Chandel A.E Suket Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY.,Chaman Singh,04-Nov-2020 03:02 PM,04-Nov-2020 03:20 PM,techsummary_61763.pdf (6162.55 KB),Technical,BOS,Chaman Singh,04-Nov-2020 02:59 PM,technical_61763.pdf,1.0,184795.0,NARAIN DASS NAIK,02-Nov-2020 04:07 PM,Accepted-AOC,Being lowst,19-Mar-2021 02:58 PM,Finance,FBOS,Chaman Singh,09-Nov-2020 12:37 PM,finance_61763.pdf,BOQ Comparative Chart,1.0,184795.0,NARAIN DASS NAIK,INR,"55,555,500",AOC,22-Oct-2020 05:40 PM,03-Nov-2020 11:00 AM,22-Oct-2020 06:00 PM,02-Nov-2020 06:00 PM,NA ,NA ,22-Oct-2020 06:00 PM,02-Nov-2020 06:00 PM,04-Nov-2020 03:20 PM,"Construction of 8 No. Type-II Quarters 24 No. Type-III Quarters and 08 No. Type-IV Quarters at Civil Hospital Sundernagar, Distt. Mandi (HP)","SH Construction of 08 No. Type-II Quarters, 08 No. Type-III Quarters and 08 No. Type-IV Quarters with WS and SI.",As per bid document ,NA ,"4,13,97,101",Civil Works - Buildings,NA ,Tender,120.0,730.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,"4,46,500",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-Ten/20-11492-503 dt.5.10.2020,2020_PWD_41860_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"5,000",EE Sundernagar,Sundernagar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,184736.0,Suket Construction Co. Pvt. Ltd.,01-Nov-2020 08:45 PM,Rejected-AOC,Not lowest,19-Mar-2021 02:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,184690.0,unipro,02-Nov-2020 01:32 PM,Rejected-AOC,Not lowest,19-Mar-2021 02:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,184608.0,YOG RAJ SHARMA,30-Oct-2020 03:13 PM,Rejected-Technical,Being non responsive,04-Nov-2020 03:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
