S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,89446.0,r r enterprise,INR,0.0,1,94009,ALAMPURIA ENTERPRISES,30-Sep-2020 12:32 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,Technical,Technical bid has opened,Mrinal Kumar Kalita,02-Oct-2020 02:34 PM,,Finance,Opening of Financial Bid,Mrinal Kumar Kalita,14-Oct-2020 01:46 PM,,BOQ Comparative Chart,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2020_PHED_18618_6,PHE_8_MM_2014_15_T_9893_99,Pkg 06 Fixation of Rates for different items of the PWSS to be executed under JJM Assam,M K Das,Internal,,Milan Kalita,13-Oct-2020 05:22 PM,14-Oct-2020 12:00 PM,techsummary_28715.pdf (527.55 KB),17-Mar-2021,INR 1.0,365.0,Munmun Das,17-Mar-2021 04:51 PM,FinancialEvaluationPHE.pdf (253.00 KB),Empanelment,M.K.Das,Internal,,Munmun Das,17-Mar-2021 04:37 PM,finsummary_28715.pdf (253.17 KB),AOC,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_8_MM_2014_15_T_9893_99,2020_PHED_18618_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Not Applicable,No,No,No,CE PHE Water Assam,"Hengrabari, Guwahati-36",0.0,Nil,Nil,No,0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Documents as prescribed in the RFP Document,Pkg 06 Fixation of Rates for different items of the PWSS to be executed under JJM Assam,Pkg 06 Fixation of Rates for different items of the Piped Water Supply Schemes to be executed under Jal Jeevan Mission Assam,Please refer Tender documents. ,NA ,0.0,Civil Works - Water Works,NA ,Tender,90.0,365.0,Guwahati,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,1.0,Corrigendum No. 02,Technical Bid,,10-Sep-2020 10:00 AM,01-Oct-2020 03:00 PM,10-Sep-2020 10:00 AM,30-Sep-2020 04:00 PM,NA ,NA ,10-Sep-2020 11:00 AM,30-Sep-2020 04:00 PM,14-Oct-2020 12:00 PM,AOC
2.0,89738.0,Bharat Bora,INR,0.0,2,92373,Arsiddh Infraprojects,29-Sep-2020 01:49 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,89780.0,GLOBAL ASSOCIATES,INR,0.0,3,93793,ASHIM MAHANTA,30-Sep-2020 11:16 AM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,89994.0,NABADWEEP PATHAK,INR,0.0,4,92721,ASOMI CONSTRUCTION & SUPPLY SYNDICATE,29-Sep-2020 05:24 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,90013.0,SDCONSTRUCTION,INR,0.0,5,92903,BBS CONSTRUCTION,29-Sep-2020 06:25 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,90185.0,Bikash Enterprises,INR,0.0,6,89738,Bharat Bora,29-Sep-2020 05:16 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,90312.0,M/s Dhananjoy Talukdar,INR,0.0,7,90185,Bikash Enterprises,26-Sep-2020 05:12 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,90557.0,HNB Enterprise,INR,0.0,8,92854,BRIGHT SOLAR LIMITED,29-Sep-2020 06:07 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,90890.0,SAHARUL AMIN BARBHUIYA,INR,0.0,9,90142,Coupler Contrive Pvt Ltd,26-Sep-2020 02:11 PM,Rejected-Technical,Technically Non Responsive,13-Oct-2020 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10.0,91550.0,Khitish Ojha,INR,0.0,10,92309,D KUMAR AND COMPANY,29-Sep-2020 01:10 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11.0,92156.0,D KUMAR AND SALES,INR,0.0,11,92156,D KUMAR AND SALES,29-Sep-2020 11:04 AM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
12.0,92300.0,Naruttam Changmai,INR,0.0,12,92422,Dochania and Company Private Limited,29-Sep-2020 02:11 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
13.0,92309.0,D KUMAR AND COMPANY,INR,0.0,13,89780,GLOBAL ASSOCIATES,25-Sep-2020 04:48 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
14.0,92344.0,NONDO CHAND NAIDING,INR,0.0,14,94314,GOBIN CH BARO,30-Sep-2020 02:43 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
15.0,92373.0,Arsiddh Infraprojects,INR,0.0,15,92400,GOURI SANKAR DEKA BORUAH,29-Sep-2020 03:25 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
16.0,92400.0,GOURI SANKAR DEKA BORUAH,INR,0.0,16,94115,HAMENDRA SAIKIA,30-Sep-2020 01:11 PM,Accepted-AOC,Awarded,17-Mar-2021 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
