Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,DD - Demand Draft,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,"No. DW/NIT/765/2019-20/1, DTD. 19/07/2019",2019_WPTBC_14356_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Corrigendum,Date,,"10,000","Director, WPT and BC, Assam",Guwahati,No,SUPPLY OF AGRICULTURE KIT,SUPPLY OF AGRICULTURE KIT,Please refer Tender documents. ,NA ,,Supply of Materials,NA ,Tender,180.0,180.0,ASSAM,781006.0,"Directorate of WPT and BC, Assam ","Directorate of WPT and BC, Assam, Rukmini Nagar, Guwahati 781006 ",14-Oct-2019 12:00 PM ,"Directorate of WPT and BC, Assam",No ,No,"3,00,000",No,fixed,,"Director, WPT and BC, Assam",Guwahati,"Director, WPT and BC, Assam","Directorate of WPT and BC, Assam, Rukmini Nagar, Guwahati 781006",09-Oct-2019 11:30 AM,07-Nov-2019 04:00 PM,09-Oct-2019 11:30 AM,07-Nov-2019 04:00 PM,NA ,NA ,15-Oct-2019 11:00 AM,07-Nov-2019 04:00 PM,27-Jan-2020 09:00 AM,AOC,1.0,66937.0,SANTANA ENTERPRISE,INR,9515.0,"Director, WPT and BC, Assam",Internal,"Director WPT and BC, Joint Secretary WPT and BC, etc",Sajen Langthasa,26-Jan-2020 11:18 PM,27-Jan-2020 09:00 AM,techsummary_22019.pdf (2430.01 KB),26-Mar-2021,INR 9740.0,180.0,Darendra Singha,26-Mar-2021 03:32 PM,Order.pdf (2321.00 KB),Finance,FINANCIAL BID HAS OPENED,Sajen Langthasa,16-Mar-2021 01:29 PM,,BOQ Comparative Chart,Welfare of Plain Tribes and Backward Classes||Director - WPT and BC,2019_WPTBC_14356_1,"No. DW/NIT/765/2019-20/1, DTD. 19/07/2019",SUPPLY OF AGRICULTURE KIT,"DIRECTOR, WPT AND BC",Internal,,Sajen Langthasa,16-Mar-2021 01:43 PM,finsummary_22019.pdf (2455.92 KB),Technical,Technical Evaluation,Sajen Langthasa,26-Jan-2020 11:12 PM,technical_22019.pdf,1,66942,D-FASHION,07-Nov-2019 01:15 AM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,.pdf,Bid Document,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66858,ITAS G. PHARMA,06-Nov-2019 11:25 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
2.0,Finance,.xls,BoQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66951,J. N. Trading,07-Nov-2019 11:07 AM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,66991,K.B.S COMMERCIAL (P) LTD.,07-Nov-2019 01:42 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,66930,MAINDEOR ENTERPRISE,06-Nov-2019 11:33 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,66320,M/S DONYI POLO ENTERPRISES,31-Oct-2019 11:41 AM,Rejected-Technical,Technically rejected,26-Jan-2020 11:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,66941,M/S S.S. ENTERPRISE,06-Nov-2019 11:47 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,66937,SANTANA ENTERPRISE,06-Nov-2019 10:43 PM,Accepted-AOC,Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,66968,Shree Siddha Manglam,07-Nov-2019 12:37 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,66940,Singhania printing press LLP,07-Nov-2019 01:19 PM,Rejected-AOC,Not Awarded,26-Mar-2021 03:32 PM,AOC
