Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
A.Khan,Internal,,Milan Kalita,01-Mar-2021 03:43 PM,finsummary_31180.pdf (274.28 KB),A.Khan,Internal,,Munmun Das,20-Feb-2021 06:11 PM,23-Feb-2021 03:00 PM,techsummary_31180.pdf (404.14 KB),01-Mar-2021,INR 0.64,365.0,Milan Kalita,01-Mar-2021 03:48 PM,AOC_TPI.pdf (235.00 KB),AOC on 26.02.2021 but uploaded on 01.03.2021,1.0,104792.0,Intertek India Pvt. Ltd.,INR,0.64,1,104809,Bureau Veritas (India) Pvt. Ltd.,05-Feb-2021 03:53 PM,Accepted-AOC,Awarded as L2,01-Mar-2021 03:48 PM,Finance,Financial Bid Opening summary,Milan Kalita,01-Mar-2021 03:29 PM,,BOQ Comparative Chart,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2021_PHED_20179_1,PHE_18_JJM_PB_20_21_T_26487_93,Empanelment of consulting agencies as TPIA under JJM Assam,Technical,Tech Bid opening summary,Munmun Das,20-Feb-2021 06:07 PM,technical_31180.pdf,AOC,CE PHE Water Assam,"Hengrabari, Guwahati-36",Empanelment of consulting agencies as TPIA under JJM Assam,Empanelment of consulting agencies or reputed institutions as Third Party Inspection Agency under Jal Jeevan Mission Assam,Please refer Tender documents. ,NA ,0.0,Miscellaneous Works,NA ,Empanelment,90.0,365.0,Guwahati,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,1.0,Bid Query,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Technical Qualifications Documents as per RFQ Document and Bid Security if in the form of BG,16-Jan-2021 10:00 AM,06-Feb-2021 03:00 PM,16-Jan-2021 10:00 AM,05-Feb-2021 04:00 PM,NA ,NA ,16-Jan-2021 11:00 AM,05-Feb-2021 04:00 PM,23-Feb-2021 03:00 PM,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,PHE_18_JJM_PB_20_21_T_26487_93,2021_PHED_20179_1,Yes,Open Tender,Empanelment,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"2,00,000",Yes,fixed,,Nil,Nil,0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,2.0,104809.0,Bureau Veritas (India) Pvt. Ltd.,INR,0.64,2,103373,DR AMIN CONTROLLERS PVT LTD,04-Feb-2021 11:36 AM,Rejected-Technical,Technically non Responsive,20-Feb-2021 06:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3.0,105362.0,Egis India Consulting Engineers private limited,INR,0.64,3,105362,Egis India Consulting Engineers private limited,05-Feb-2021 03:15 PM,Accepted-AOC,Awarded as L1,01-Mar-2021 03:48 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4,104790,Feedback Infra Pvt. Ltd.,04-Feb-2021 11:56 PM,Rejected-AOC,Not Awarded,01-Mar-2021 03:48 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5,105033,IIT GUWAHATI,05-Feb-2021 03:55 PM,Rejected-Technical,Technically non Responsive,20-Feb-2021 06:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6,104792,Intertek India Pvt. Ltd.,05-Feb-2021 12:01 PM,Accepted-AOC,Awarded as L3,01-Mar-2021 03:48 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,7,103538,IRCLASS SYSTEMS AND SOLUTIONS PVT LTD,04-Feb-2021 04:51 PM,Rejected-Technical,Technically non Responsive,20-Feb-2021 06:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,8,105247,MSV INTERNATIONAL INC,05-Feb-2021 03:45 PM,Rejected-Technical,Technically non Responsive,20-Feb-2021 06:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,9,103601,NORTH EASTERN DEVELOPMENT FINANCE CORPORATION LIMITED (NEDFi),05-Feb-2021 03:11 PM,Rejected-Technical,Technically non Responsive,20-Feb-2021 06:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,10,103825,WAPCOS LIMITED,05-Feb-2021 02:18 PM,Rejected-AOC,Not Awarded,01-Mar-2021 03:48 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
