Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2019-20/RIDF/III,2020_DoWR_17898_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,Anti erosion measures to protect R/B embankment at Beloguri from the erosion of river Kollong.,Anti erosion measures to protect R/B embankment at Beloguri from the erosion of river Kollong.,Please refer Tender documents. ,NA ,"1,97,89,847",Civil Works,NA ,Tender,180.0,90.0,MORIGAON,782105.0,NA ,NA ,NA ,GUWAHATI,No ,No,"3,95,797",Yes,percentage,2.0%,"The Executive Engineer, Morigaon W. R. Division",Morigaon,"4,000","The Executive Engineer, Morigaon W. R. Division",Morigaon,No,1.0,EXTENSION NOTICE,Date,,10-Jun-2020 06:00 PM,15-Jul-2020 02:00 PM,10-Jun-2020 06:05 PM,14-Jul-2020 02:00 PM,NA ,NA ,19-Jun-2020 10:00 AM,14-Jul-2020 02:00 PM,19-Sep-2020 06:00 PM,1.0,SBI Bank,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,AOC,R. SARMA,Internal,"G.C. Sarma, R. Deka, M. Deka, S. Dey",Jayanta Kumar Barman,05-Nov-2020 03:45 PM,finsummary_27623.pdf (233.73 KB),1.0,84450.0,RAIS UDDIN AHMED,INR,16422566.51,Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,19-Sep-2020 05:01 PM,technical_27623.pdf,1,84773,ARABINDA HAZARIKA,14-Jul-2020 09:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,Finance,Updated CS may be prepared,Jayanta Kumar Barman,05-Oct-2020 10:28 AM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2020_DoWR_17898_1,MORIGAON/2019-20/RIDF/III,Anti erosion measures to protect R/B embankment at Beloguri from the erosion of river Kollong.,05-Nov-2020,INR 16422566.51,90.0,Jayanta Kumar Barman,05-Nov-2020 03:47 PM,wr_1546_1.PDF (348.00 KB),Anti erosion measures to protect R/B embankment at Beloguri from the erosion of river Kollong.,R. SARMA,Internal,"G.C. Sarma, S. Pathak, R. Deka, M. Deka, S. Dey",Jayanta Kumar Barman,19-Sep-2020 05:36 PM,19-Sep-2020 06:00 PM,techsummary_27623.pdf (233.73 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,NIT,Other,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,84201,Ashok Agarwalla,14-Jul-2020 11:50 AM,Rejected-AOC,Not Qualified for AOC,05-Nov-2020 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,84448,DURGA PRASAD UPADHYA,14-Jul-2020 10:07 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,84428,GLOBAL ENTERPRISE,12-Jul-2020 02:24 PM,Rejected-AOC,Not Qualified for AOC,05-Nov-2020 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,83745,Khagen Konch,30-Jun-2020 03:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,84797,MD JEHERUL HAQUE,13-Jul-2020 07:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,84450,RAIS UDDIN AHMED,12-Jul-2020 02:48 PM,Accepted-AOC,PROPER,05-Nov-2020 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,84483,SKF (JV),02-Jul-2020 12:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,84104,SURESH AGARWALLA,14-Jul-2020 12:00 PM,Rejected-AOC,Not Qualified for AOC,05-Nov-2020 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,83736,Tapan Medhi,04-Jul-2020 05:48 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Sep-2020 05:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
