Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj","18,000",Yes,fixed,,EE Bhoranj,Bhoranj,PWD,Construction of link road to village Chamboh Job 2,2020_PWD_40303_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of link road to village Chamboh ward No. 4 km. 0.0 to 3.0,"Construction of Brest wall and retaining wall at various RDs Breast wall RD 0.800 to 0.860, 2.030 to 2.049 1/840 to 1/855 and 2/102 to 2/125 and Retaining wall RDs 2/100 to 2/120 and 1/600 to 1/625 Under SCSP",Please refer Tender documents. ,NA ,"8,73,016",Civil Works - Roads,NA ,Tender,120.0,60.0,Bhoranj,176045.0,NA ,NA ,NA ,"E.E. HPPWD., Division Bhoranj",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,03-Sep-2020 02:00 PM,10-Sep-2020 11:30 AM,03-Sep-2020 02:05 PM,10-Sep-2020 10:30 AM,NA ,NA ,03-Sep-2020 02:05 PM,10-Sep-2020 10:30 AM,28-Sep-2020 11:30 AM,1.0,DD - Demand Draft,350.0,EE Bhoranj,Bhoranj,Yes,AOC,PWD,2020_PWD_40303_1,Construction of link road to village Chamboh Job 2,Construction of link road to village Chamboh ward No. 4 km. 0.0 to 3.0,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,Supdt.Gr.II HDM DAO A.E.Samirpur,Amar Singh Bhatia,25-Sep-2020 04:30 PM,28-Sep-2020 11:30 AM,techsummary_59527.pdf (1127.75 KB),"E.E. HP.PWD., Bhoranj Division",Internal,Supdt Gr.-II DAO HDM A.E. Bhoranj,Amar Singh Bhatia,01-Oct-2020 05:18 PM,finsummary_59527.pdf (885.50 KB),19-Nov-2020,"INR 996,508",60.0,Amar Singh Bhatia,19-Nov-2020 02:40 PM,A.L.Chamboh.PDF (411.00 KB),Award letter attached,Finance,Summary attached,Amar Singh Bhatia,01-Oct-2020 05:10 PM,finance_59527.pdf,BOQ Comparative Chart,1.0,176985.0,KAMAL PATHANIA GOVT.CONTRACTOR,INR,"996,508",1.0,176958.0,AMANDEEP SHARMA GOVT ONTRACTOR,09-Sep-2020 04:49 PM,Rejected-Technical,Not qualify in techanical bid,25-Sep-2020 04:31 PM,Technical,Summary attached,Amar Singh Bhatia,25-Sep-2020 04:21 PM,technical_59527.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,176985.0,KAMAL PATHANIA GOVT.CONTRACTOR,09-Sep-2020 08:18 PM,Accepted-AOC,Accept,19-Nov-2020 02:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,176982.0,M/S RAKESH KUMAR,09-Sep-2020 06:42 PM,Rejected-AOC,L2,19-Nov-2020 02:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,176981.0,PRATEEK THAKUR GOVT CONTRACTOR,09-Sep-2020 06:39 PM,Rejected-Technical,Not qualify in techanical bid,25-Sep-2020 04:31 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
