S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Tender Stage
1.0,182299.0,Ajmer Singh,INR,"9,143,400",Finance,FBOS,Chaman Singh,21-Oct-2020 12:12 PM,finance_61003.pdf,BOQ Comparative Chart,Technical,BOS,Chaman Singh,19-Oct-2020 03:26 PM,technical_61003.pdf,1.0,182299.0,Ajmer Singh,15-Oct-2020 02:33 PM,Accepted-AOC,Being lowest,11-Nov-2020 11:52 AM,SE 1st Circle HPPWD Mandi,Internal,EE(D) 1st Circle Mandi EE Sundernagr Divn. CHD Supdt Works,Chaman Singh,11-Nov-2020 11:48 AM,finsummary_61003.pdf (2777.39 KB),11-Nov-2020,"INR 9,143,400",90.0,Chaman Singh,11-Nov-2020 11:50 AM,AOC.pdf (2777.00 KB),AOC issued,PWD,2020_PWD_41333_1,PW-SNR-CB-E-Tender/20-10384-87 dt. 15.9.2020,Annual repair and maintenance of NH-21 New NH-154 Chandigarh Mandi Manali road between km 156/00 to 178/300,Er D.R. Chauhan Execuitve Engineer,Internal,Er Hitesh Sharma A.E Dehar Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY,Chaman Singh,19-Oct-2020 03:30 PM,19-Oct-2020 03:45 PM,techsummary_61003.pdf (2161.63 KB),AOC,PWD,PW-SNR-CB-E-Tender/20-10384-87 dt. 15.9.2020,2020_PWD_41333_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,05-Oct-2020 09:00 AM,16-Oct-2020 11:30 AM,05-Oct-2020 09:00 AM,15-Oct-2020 06:00 PM,NA ,NA ,05-Oct-2020 09:00 AM,15-Oct-2020 06:00 PM,19-Oct-2020 03:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Annual repair and maintenance of NH-21 New NH-154 Chandigarh Mandi Manali road between km 156/00 to 178/300,"Providing and laying renewal coat with 30mm bitumen concrete at RD 158/00 to 160/00, 161/00 to 162/00 and 163/00 to 164/00)",As per bid document ,NA ,"88,30,003",Civil Works,Tarring ,Tender,120.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,"1,21,000",No,fixed,,EE Sundernagar,Sundernagar,"2,000",EE Dodrakawar,Sundernagar,Yes,1.0,DD - Demand Draft,Executive Engineer,HPPWD Division Sundernagar.,AOC
,,,,,,,,,,,,,,,,2.0,182362.0,JAIMAL SINGH,13-Oct-2020 06:53 PM,Rejected-Technical,Being non- responsive,19-Oct-2020 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,3.0,182681.0,Parveen Construction,15-Oct-2020 05:14 PM,Rejected-AOC,Not Found lowest,11-Nov-2020 11:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
