Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Stage
"EE,AEE,JE,AE",Internal,"EE,AEE,JE,AE",Bibekananda Das,06-Aug-2020 02:56 PM,07-Aug-2020 10:00 AM,techsummary_27600.pdf (813.44 KB),Technical,Bid Opening Summary,Bibekananda Das,06-Aug-2020 02:55 PM,technical_27600.pdf,Public Works Roads Department,2020_PWD_17883_1,Bongaigaon/5th ASFC/2019-20/13,Bongaigaon/5th ASFC/2019-20/13,Finance,Bid opening summary,Bibekananda Das,09-Nov-2020 08:42 PM,,BOQ Comparative Chart,1.0,83611.0,Sri Bipul Choudhury,INR,4500000.0,09-Nov-2020,INR 4500000.0,180.0,Bibekananda Das,09-Nov-2020 08:56 PM,FW.pdf (265.00 KB),total amount of BOQ,"EE,AEE,JE,AE",Internal,"EE,AEE,JE,AE",Bibekananda Das,09-Nov-2020 08:48 PM,finsummary_27600.pdf (582.29 KB),1,84019,Bhrigujit Choudhury,23-Jun-2020 01:13 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,"1,500","Empowered Officer, Assam State Road Board",GUWAHATI,Yes,1.0,Date,Date,,Bongaigaon/5th ASFC/2019-20/13,Maintenance and Repair of Borghola to Sidalsuti Road from Sidalsuti side(Chainage 0.00 m to 2800.00 m)under 5th Assam State Finance Commission for the year 2018-19,Please refer Tender documents. ,NA ,"5,00,000",Civil Works,NA ,Tender,180.0,180.0,Bongaigaon,783380.0,NA ,NA ,NA ,PWRD Bongaigaon District Territorial Road Divisio,No ,No,"1,00,000",Yes,fixed,,"Executive Engineer, PWRD, Bongaigaon District TRD",Bongaigaon,1.0,Fee/PreQual/Technical,.pdf,tech,10-Jun-2020 10:00 AM,24-Jun-2020 10:00 AM,10-Jun-2020 10:00 AM,23-Jun-2020 02:00 PM,10-Jun-2020 10:00 AM ,23-Jun-2020 02:00 PM ,10-Jun-2020 10:00 AM,23-Jun-2020 02:00 PM,07-Aug-2020 10:00 AM,PWRD Bongaigaon District Territorial Road Divisio,PWRD Bongaigaon District Territorial Road Division,Public Works Roads Department,Bongaigaon/5th ASFC/2019-20/13,2020_PWD_17883_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,83989,GALIF HUSSAIN SARKAR,22-Jun-2020 10:04 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,bid security,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,83932,M/S MANJULA CONSTRUCTION,22-Jun-2020 01:04 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,tender cost,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,83321,PARTHA PRATIM MAZUMDAR,23-Jun-2020 01:19 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,sbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,83322,RABIN CHANDRA SARKAR,18-Jun-2020 04:30 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,83212,Rudra Kumar Pathak,15-Jun-2020 12:16 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,fob,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,83960,SHYAM PRASAD UPADHAYA,22-Jun-2020 05:36 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,83223,Sri Bhaskar Jyoti Das,16-Jun-2020 11:50 AM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,83949,Sri Bhupen Nath,22-Jun-2020 03:15 PM,Rejected-AOC,REJECTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,83611,Sri Bipul Choudhury,22-Jun-2020 05:54 PM,Accepted-AOC,ACCEPTED FINANCIAL,09-Nov-2020 08:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
