Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,tech bid opening summary,Pramod Kashyap,04-Jun-2020 12:48 PM,technical_55142.pdf,1.0,160978.0,Anil Thakur,04-Jun-2020 09:39 AM,Accepted-AOC,L 1,04-Nov-2020 11:04 AM,Finance,fin bid,Pramod Kashyap,09-Jun-2020 10:57 AM,finance_55142.pdf,BOQ Comparative Chart,1.0,160978.0,Anil Thakur,INR,"14,524,305",04-Nov-2020,"INR 16,924,959",365.0,Anil Kumar Sharma,04-Nov-2020 11:01 AM,awardhareta.pdf (387.00 KB),C/O 68.00 mtrs.span Box Cell Bridge over Hareta Khad,EE,Internal,Supdt HDM DAO,Pramod Kashyap,09-Jun-2020 12:10 PM,finsummary_55142.pdf (150.92 KB),EE,Internal,Supdt HDM DAO,Pramod Kashyap,08-Jun-2020 02:47 PM,09-Jun-2020 10:30 AM,techsummary_55142.pdf (715.19 KB),PWD,2020_PWD_37422_1,C/O 68.00 mtrs.span Box Cell Bridge Hareta Khad,C/O 68.00 mtrs.span Box Cell Bridge over Hareta Khad On Link road Lower Hareta Harizan Basti Khas Galore,AOC,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,C/O 68.00 mtrs.span Box Cell Bridge Hareta Khad,2020_PWD_37422_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"5,000",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,23-May-2020 10:30 AM,04-Jun-2020 11:00 AM,23-May-2020 10:30 AM,04-Jun-2020 10:30 AM,NA ,NA ,23-May-2020 10:30 AM,04-Jun-2020 10:30 AM,09-Jun-2020 10:30 AM,"2,01,800",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,C/O 68.00 mtrs.span Box Cell Bridge over Hareta Khad On Link road Lower Hareta Harizan Basti Khas Galore,C/O bridge including both side approaches) Under SCSP Head,Please refer Tender documents. ,NA ,"1,69,24,959",Civil Works - Bridges,NA ,Tender,120.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,AOC
,,,,,2.0,160981.0,Maheshrajan,04-Jun-2020 06:47 AM,Rejected-Technical,Non Responsive,08-Jun-2020 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,160977.0,RAMAN KUMAR,04-Jun-2020 07:27 AM,Rejected-Finance,L 2,09-Jun-2020 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No. with latest clearance return,Labour Licence, Pan Car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant with ownership documents/Aff. Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Aff. that the information submitted by the bidder is true and correct (Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly countersigned by the Engineer in charge, not below the rank of an Exec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Last five Year Turn over duly signed by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29(Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
