Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Tech bid opened,Sanjiv Kumar Agnihotri,29-Sep-2020 12:58 PM,technical_59624.pdf,1.0,178284.0,ANS Constructions Ltd,20-Sep-2020 04:12 PM,Accepted-AOC,Lowest,26-Nov-2020 05:43 PM,Finance,Fin bid opened,Sanjiv Kumar Agnihotri,01-Oct-2020 01:26 PM,finance_59624.pdf,BOQ Comparative Chart,1.0,178284.0,ANS Constructions Ltd,INR,"39,179,102",Er.S.P.Dhiman EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,01-Oct-2020 01:33 PM,finsummary_59624.pdf (543.13 KB),26-Nov-2020,"INR 39,179,102",365.0,SHASHI PAL,26-Nov-2020 05:40 PM,AOC.pdf (1516.00 KB),Work Awarded,PWD,2020_PWD_40388_1,No.PW/BGN/CB/2020-5619-52 dt. Job1,C/O link road from Rain Shelter to Village Gehra via Kothi Baba Garib Nath Temple Km 0/0 to 9/920 Under NABARD RIDF-XXV,Er.S.P.Dhiman EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,29-Sep-2020 01:02 PM,30-Sep-2020 10:30 AM,techsummary_59624.pdf (761.23 KB),AOC,C/O link road from Rain Shelter to Village Gehra via Kothi Baba Garib Nath Temple Km 0/0 to 9/920 Under NABARD RIDF-XXV,"Formation cutting, C/o Retaining wall, wire crate, CD work, CC Pavement, P/L GSB, WMM, P/L Premix carpet surfacing, Road side Drain, Parapets, P/F Kilometer stone in Km 0/000 to 5/285",Please refer Tender documents. ,NA ,"3,15,66,181",Civil Works,NA ,Tender,120.0,365.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"3,48,200",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),"5,000",Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,DD - Demand Draft,PWD,No.PW/BGN/CB/2020-5619-52 dt. Job1,2020_PWD_40388_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,08-Sep-2020 11:00 AM,21-Sep-2020 11:00 AM,08-Sep-2020 11:30 AM,21-Sep-2020 09:00 AM,NA ,NA ,08-Sep-2020 11:30 AM,21-Sep-2020 09:00 AM,30-Sep-2020 10:30 AM,AOC
,,,,,2.0,178331.0,Ashok Kumar,19-Sep-2020 04:52 PM,Rejected-AOC,Higher Side,26-Nov-2020 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,178508.0,Ashwani Kumar Govt Contractor,20-Sep-2020 02:33 PM,Rejected-AOC,Higher Side,26-Nov-2020 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,178089.0,Balwant Singh,17-Sep-2020 01:04 PM,Rejected-AOC,Higher Side,26-Nov-2020 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,178538.0,Davinder kumar,20-Sep-2020 06:45 PM,Rejected-AOC,Higher Side,26-Nov-2020 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,178534.0,Ramesh Chand Sharma,20-Sep-2020 06:26 PM,Rejected-AOC,Higher Side,26-Nov-2020 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
