Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Executive Engineer Jal Shakti Division Bharmour,Executive Engineer Jal Shakti Division Bharmour,1.0,Fee/PreQual/Technical,.pdf,NIT,"40,193",Yes,fixed,,Executive Engineer Jal Shakti Division Bharmour,Executive Engineer Jal Shakti Division Bharmour,20-Jun-2020 06:00 PM,13-Jul-2020 11:30 AM,20-Jun-2020 06:30 PM,10-Jul-2020 05:00 PM,NA ,NA ,20-Jun-2020 06:30 PM,10-Jul-2020 05:00 PM,17-Jul-2020 12:10 PM,1.0,ICICI BANK,Providing water supply scheme Bharmour and its surrounding area in Tehsil Bharmour Distt. Chamba,SH Providing and fixing 1 No zinc Aluminum storage tank at Bharmani Mata Temple Job II,Please refer Tender documents. ,NA ,"21,39,053",Civil Works,NA ,Tender,120.0,180.0,Executive Engineer Jal Shakti Division Bharmour,176315.0,NA ,NA ,NA ,Executive Engineer Jal Shakti Division Bharmour,No ,No,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Pooh,Irrigation and Public Health,HP",EE-JSD-BMR-GA-Tender2020 546-596 dated 20-6-2020,2020_HPIPH_38263_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,400.0,Executive Engineer Jal Shakti Division Bharmour,Executive Engineer Jal Shakti Division Bharmour,No,AOC,EE,Internal,Dealing Assistant JDM,Dinesh Kapoor,06-Nov-2020 01:58 PM,finsummary_56511.pdf (1151.02 KB),"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Pooh,Irrigation and Public Health,HP",2020_HPIPH_38263_1,EE-JSD-BMR-GA-Tender2020 546-596 dated 20-6-2020,Providing water supply scheme Bharmour and its surrounding area in Tehsil Bharmour Distt. Chamba,1.0,165980.0,M/S JASVEER ASSOCIATES,INR,"1,630,269",Finance,bid opening,Dinesh Kapoor,06-Nov-2020 01:53 PM,finance_56511.pdf,BOQ Comparative Chart,Technical,ten no contractor quoted their rate and submitted to technical evaluation,Dinesh Kapoor,17-Jul-2020 11:49 AM,technical_56511.pdf,06-Nov-2020,"INR 2,193,053",180.0,Dinesh Kapoor,06-Nov-2020 02:00 PM,a.pdf (200.00 KB),AOC,EE,Internal,JDM Tender Assistant,Dinesh Kapoor,17-Jul-2020 11:54 AM,17-Jul-2020 12:10 PM,techsummary_56511.pdf (722.86 KB),1,166630,gagan patyal,09-Jul-2020 05:35 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,.pdf,Cost of tender form,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,166639,JOGINDER RANA GOVT. CONT.,09-Jul-2020 01:19 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,166665,Kailash Chand,09-Jul-2020 03:07 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,.pdf,Registration with IPH Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,165980,M/S JASVEER ASSOCIATES,10-Jul-2020 04:22 PM,Accepted-AOC,due to L1,06-Nov-2020 02:02 PM,AOC
,,,,.pdf,GST/EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,165983,M/S PARVEEN KUMAR,06-Jul-2020 06:37 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,.pdf,Income tax clearance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,165975,M/S VIRENDRA SINGH,06-Jul-2020 05:44 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,166669,PANKAJ KUMAR,09-Jul-2020 04:23 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,166786,Sandeep Kumar,10-Jul-2020 03:52 PM,Rejected-Finance,due to higher side rate,06-Nov-2020 02:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,166083,Suraj Rana,09-Jul-2020 12:45 PM,Rejected-Technical,Not fulfill all condition,17-Jul-2020 11:54 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,166765,VIVEK PAKHRETIA,10-Jul-2020 01:16 PM,Rejected-Finance,due to higher side rate,06-Nov-2020 02:00 PM,AOC
