S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,178269.0,MANMOHAN SINGH,INR,"910,119",Finance,Proceeding,Jagtar Singh Thakur,21-Nov-2020 03:20 PM,finance_59471.pdf,BOQ Comparative Chart,Technical,Proceeding,Jagtar Singh Thakur,23-Sep-2020 01:13 PM,technical_59471.pdf,1.0,177911.0,BASHIR MOHAMMAD,16-Sep-2020 03:05 PM,Rejected-AOC,Reject,21-Nov-2020 03:34 PM,Er.J.S.Thakur EE,Internal,"AE Jawali,Supdt.Gr-II,HDM,Sr Asstt.",Jagtar Singh Thakur,21-Nov-2020 03:27 PM,finsummary_59471.pdf (790.88 KB),21-Nov-2020,"INR 910,119",270.0,Jagtar Singh Thakur,21-Nov-2020 03:31 PM,Award.pdf (712.00 KB),Award,PWD,2020_PWD_40256_1,PWJ/CB/TENDER/20-21-9876-9906 Dt 21-08-2020,Construction of Veterinary Dispensary Building at Kuther in Tehsil Jawali District Kangra (HP),Er Jagtar Singh Thakur,Internal,"AE Jawali.Supdt-Gr-II,HDM,Senior Assistant",Jagtar Singh Thakur,23-Sep-2020 01:18 PM,28-Sep-2020 11:00 AM,techsummary_59471.pdf (790.88 KB),AOC,"15,500",No,fixed,,EE JAWALI,JAWALI,1.0,Fee/PreQual/Technical,.pdf,Cost of tender (indicated in Schedule F),05-Sep-2020 11:30 AM,19-Sep-2020 11:30 AM,05-Sep-2020 11:30 AM,18-Sep-2020 05:00 PM,NA ,NA ,05-Sep-2020 11:30 AM,18-Sep-2020 05:00 PM,28-Sep-2020 11:00 AM,PWD,PWJ/CB/TENDER/20-21-9876-9906 Dt 21-08-2020,2020_PWD_40256_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Construction of Veterinary Dispensary Building at Kuther in Tehsil Jawali District Kangra (HP),"Construction of Building portion alongwith Water supply and sanitary installation construction of Septic Tank for 10 users, Construction of Rain water harvesting system and construction of Boundary wall alongwith mild steel Gate and barbed wire f",Please refer Tender documents. ,NA ,"7,68,060",Civil Works,NA ,Tender,120.0,270.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,350.0,EE JAWALI,JAWALI,No,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,AOC
,,,,,,,,,,,,,,,,2.0,177554.0,JAI RAJ,14-Sep-2020 05:34 PM,Rejected-AOC,Reject,21-Nov-2020 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest of Money (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,178269.0,MANMOHAN SINGH,18-Sep-2020 02:24 PM,Accepted-AOC,Accept,21-Nov-2020 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor Registration (Refer General Rules No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,177991.0,RASHPAL SINGH,16-Sep-2020 06:19 PM,Rejected-Technical,Rejected due to lack of work done similar nature not less than 40 percent amount put to tender last five years as per condition SBD.,23-Sep-2020 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"GST No, PAN No, EPF (Refer General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Work done, similar nature work not less than forty percent amount put to tender last five years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,An affidavit not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
