Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,PW-SNR-CB-E-Tender/20-5024-26 dt.18.07.2020,2020_PWD_39356_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,29-Jul-2020 01:00 PM,13-Aug-2020 11:00 AM,29-Jul-2020 01:00 PM,12-Aug-2020 06:00 PM,NA ,NA ,29-Jul-2020 01:15 PM,12-Aug-2020 06:00 PM,19-Aug-2020 02:30 PM,"36,500",No,fixed,,EE Sundernagar,Sundernagar,1.0,ICICI BANK,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,500.0,EE Sundernagar,Sundernagar,No,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),"SH Providing and laying 30mm thick bituminous concrete including profile correction, V-shape drain and road marking in Km 45/0 to 47/0.",AS per bid document ,NA ,"19,26,241",Civil Works,Tarring ,Tender,120.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,In Sunder Nagar Division HPPWD,No ,No,AOC,Er D.R. Chauhan Execuitve Engineer,Internal,"Er N.R. Chandel Member, Sushil Kumar DAO Gr1 Girja Sharma Supdt Amar Singh HDM",Chaman Singh,19-Aug-2020 01:53 PM,19-Aug-2020 02:30 PM,techsummary_58145.pdf (1295.24 KB),PWD,2020_PWD_39356_1,PW-SNR-CB-E-Tender/20-5024-26 dt.18.07.2020,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),04-Nov-2020,"INR 2,701,097",60.0,Chaman Singh,04-Nov-2020 04:14 PM,AOCSlapper45to47.pdf (5107.00 KB),AOC issued after negotiation.,Er D.R. Chauhan Execuitve Engineer,Internal,Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY.,Chaman Singh,04-Nov-2020 04:12 PM,finsummary_58145.pdf (5107.22 KB),1.0,172797.0,Ajay Kumar Sharma,12-Aug-2020 01:19 PM,Rejected-AOC,Not found lowest,04-Nov-2020 04:17 PM,Technical,BOS,Chaman Singh,13-Aug-2020 04:45 PM,technical_58145.pdf,Finance,FBOS,Chaman Singh,21-Aug-2020 05:43 PM,finance_58145.pdf,BOQ Comparative Chart,1.0,172838.0,Bhupinder Paul Mahajan,INR,"2,701,097",AOC
,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,172838.0,Bhupinder Paul Mahajan,12-Aug-2020 02:57 PM,Accepted-AOC,Found lowest,04-Nov-2020 04:17 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
