Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,DD - Demand Draft,PWD,PWD-BD-NIT-2019-20-12881-12945,2020_PWD_41807_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE HPPWD Baijnath,Baijnath,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,"16,600",No,fixed,,EE HPPWD Baijnath,Baijnath,22-Oct-2020 10:00 AM,05-Nov-2020 11:00 AM,22-Oct-2020 11:00 AM,05-Nov-2020 10:30 AM,NA ,NA ,22-Oct-2020 02:00 PM,05-Nov-2020 10:30 AM,12-Nov-2020 11:00 AM,Periodic Maintenace Link road Beth Jhikli to Beth Uperli DRRP No. HP0403VR007312102 Performance Based Financial incentive PMGSY 2019-20 Part-I,P/L Built up spray grout single layer tack coat and 30mm thick Bitumenious concrete in Km 1/0 to 2/0.,Please refer Tender documents. ,NA ,"8,28,945",Civil Works - Roads,NA ,Tender,120.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,AOC,PWD,2020_PWD_41807_1,PWD-BD-NIT-2019-20-12881-12945,Periodic Maintenace Link road Beth Jhikli to Beth Uperli DRRP No. HP0403VR007312102 Performance Based Financial incentive PMGSY 2019-20 Part-I,Er SK Sood,Internal,HDM Supdt GII Sr DAO AE Baijnath,Sanjiv Kumar,09-Nov-2020 03:38 PM,12-Nov-2020 11:00 AM,techsummary_61706.pdf (265.73 KB),EE Baijanth,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,21-Nov-2020 02:55 PM,finsummary_61706.pdf (101.16 KB),21-Nov-2020,"INR 828,945",30.0,Sanjiv Kumar,21-Nov-2020 02:56 PM,awardbeth1.pdf (154.00 KB),1.0,185011.0,Akshay Acharya,05-Nov-2020 09:34 AM,Accepted-AOC,Lower Side,21-Nov-2020 02:59 PM,Technical,2 bidders participated in this work and found responsive,Sanjiv Kumar,09-Nov-2020 03:37 PM,technical_61706.pdf,1.0,185011.0,Akshay Acharya,INR,"1,025,601",Finance,Financial bid open successfully,Sanjiv Kumar,21-Nov-2020 02:54 PM,finance_61706.pdf,BOQ Comparative Chart,AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,184997.0,G.P.ACHARYA,05-Nov-2020 09:23 AM,Rejected-Finance,Higher side,21-Nov-2020 02:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Upload GST Registration Clearance Copy and PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar work done amount not less than 40 percent of the estimated cost (without LD) in last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
