S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,170238.0,Puneet Khosla,INR,"6,960,742",Finance,Sum,Suresh Kumar Walia,20-Aug-2020 11:19 AM,finance_57834.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,13-Aug-2020 12:58 PM,technical_57834.pdf,1.0,171877.0,ATUL RANA GOVT CONTRACTOR,06-Aug-2020 09:50 AM,Rejected-AOC,L3,25-Nov-2020 04:38 PM,Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,20-Aug-2020 11:21 AM,finsummary_57834.pdf (194.34 KB),25-Nov-2020,"INR 6,960,742",365.0,Suresh Kumar Walia,25-Nov-2020 04:35 PM,Award.pdf (392.00 KB),Award,PWD,2020_PWD_38341_2,PWD Civil Work -2182-2223-Tanda,"Construction of Veterinary Hospital Building at Nagrota Bagwan in Distt Kangra (HP) (SH- Construction of Civil work including water supply and sanitary Installation, Rain water Harvesting system and boundary wall etc)",Dr Suresh Kumar walia,Internal,Er JN SHarma AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,13-Aug-2020 01:01 PM,17-Aug-2020 11:30 AM,techsummary_57834.pdf (920.23 KB),AOC,1.0,DD - Demand Draft,23-Jul-2020 10:00 AM,07-Aug-2020 11:30 AM,23-Jul-2020 10:00 AM,06-Aug-2020 05:00 PM,NA ,NA ,23-Jul-2020 10:00 AM,06-Aug-2020 05:00 PM,17-Aug-2020 11:30 AM,"98,500",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,"Construction of Veterinary Hospital Building at Nagrota Bagwan in Distt Kangra (HP) (SH- Construction of Civil work including water supply and sanitary Installation, Rain water Harvesting system and boundary wall etc)","Construction of Veterinary Hospital Building at Nagrota Bagwan in Distt Kangra (HP) (SH- Construction of Civil work including water supply and sanitary Installation, Rain water Harvesting system and boundary wall etc)",Please refer Tender documents. ,NA ,"65,83,490",Civil Works - Buildings,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD Civil Work -2182-2223-Tanda,2020_PWD_38341_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD,"2,000",Executive Engineer HP PWD Tanda,Kangra,No,AOC
,,,,,,,,,,,,,,,,2.0,170238.0,Puneet Khosla,06-Aug-2020 11:56 AM,Accepted-AOC,L1,25-Nov-2020 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,3.0,171950.0,Saravjeet,06-Aug-2020 02:37 PM,Rejected-AOC,L2,25-Nov-2020 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity a/w Balance sheets for the last 5 year duly signed by C.A,,,,,AOC
