Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Construction of Bridge over Chikni Khad on Kanani to Bissian Chmran Katlu Pahari Chikni road at kM 10 260,SH CO 14.05 mtr Span Span of 7.025 Meter each RCC Box cell Bridge Under SCSP,Please refer Tender documents. ,NA ,"43,89,786",Civil Works - Roads,NA ,Tender,90.0,270.0,Nalagarh,174101.0,NA ,NA ,NA ,Nalagarh,No ,No,1.0,DD - Demand Draft,PWD,PW/NLD//EA-1/Tender Publication/2020-21-2055-61,2020_PWD_37457_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,23-May-2020 05:45 PM,06-Jun-2020 11:30 AM,23-May-2020 05:50 PM,06-Jun-2020 10:00 AM,NA ,NA ,23-May-2020 05:55 PM,06-Jun-2020 10:00 AM,23-Jun-2020 10:35 AM,"2,000",EE Nalagarh,Nalagarh,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Indicated in Schedule F of Bidding document,"50,850",Yes,fixed,,EE Nalagarh,Nalagarh,EE Nalagarh,Executive Engineer HPPWD Division Nalagarh,AOC,ee,Internal,committeemembers,Raj Kumar,23-Jun-2020 10:32 AM,23-Jun-2020 10:35 AM,techsummary_55212.pdf (246.39 KB),PWD,2020_PWD_37457_1,PW/NLD//EA-1/Tender Publication/2020-21-2055-61,Construction of Bridge over Chikni Khad on Kanani to Bissian Chmran Katlu Pahari Chikni road at kM 10 260,10-Nov-2020,"INR 4,389,786",270.0,Ajay Kumar Sharma,10-Nov-2020 11:56 AM,AOC.107.pdf (347.00 KB),Award letter,EE Chairman,Internal,All Committee Member,Ajay Kumar Sharma,10-Nov-2020 11:54 AM,finsummary_55212.pdf (260.24 KB),1,161087,Ajay Thakur,05-Jun-2020 09:13 PM,Rejected-Finance,Non Responsive Due to L2 Bidder,10-Nov-2020 11:56 AM,Technical,summary,Raj Kumar,23-Jun-2020 10:30 AM,technical_55212.pdf,1.0,160026.0,JAI PRAKASH RANOTE,INR,"4,983,142",Finance,summary,Ajay Kumar Sharma,23-Jun-2020 11:59 AM,finance_55212.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Indicated in Schedule F of Bidding document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,160422,Harsh chauhan,02-Jun-2020 01:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jun-2020 10:30 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Refer Gen. Rules and Direction Sr. No 23 and 26.3,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,161336,Himanshu Kumar,06-Jun-2020 07:57 AM,Rejected-Finance,Non Responsive Due to L4 Bidder,10-Nov-2020 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Refer Gen. Rules and Direction Sr. No 21 and 26.4,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,160026,JAI PRAKASH RANOTE,03-Jun-2020 05:50 PM,Accepted-AOC,AOC Done,10-Nov-2020 11:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate (As per 6.10 of Schedule F),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,159935,Jimmy Kashyap,04-Jun-2020 12:00 PM,Rejected-Finance,Non Responsive Due to L6 Bidder,10-Nov-2020 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work in Hand More than two work above 10.00 lacs value for eligibility as per criteria Re,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,161327,lakhwinder thakur govt. contractor,05-Jun-2020 11:06 PM,Rejected-Finance,Non Responsive Due to L3 Bidder,10-Nov-2020 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery, Tool and Plant As per Schedule F at Sr. No.6.19.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,161288,moin,05-Jun-2020 11:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jun-2020 10:30 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed Form No 8 General Rule and Direction Sr. No 26.7,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,161275,rehana,06-Jun-2020 08:31 AM,Rejected-Finance,Non Responsive Due to L5 Bidder,10-Nov-2020 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,160619,sandeep singh govt contractor,05-Jun-2020 06:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jun-2020 10:30 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,161334,SURJEET SINGH CONTRACTOR,06-Jun-2020 08:15 AM,Rejected-Finance,Non Responsive Due to L7 Bidder,10-Nov-2020 11:56 AM,,,,,,,,,,,,,,,,,AOC
