S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,72523.0,AK Films,INR,450000.0,Assam Inland Water Transport Development Society,2020_AIWTD_15851_1,AIWTDS/103/2018/238,"Filming the Assam Inland Water Transport- History, Transition and its future",Finance,Quoataion Opening Minutes,Ikshwaku Saikia,28-Feb-2020 02:43 PM,finance_23967.pdf,BOQ Comparative Chart,BEC MOM,Internal,1st and 2nd BEC meeting MOM,Dhrubajyoti Sarma,04-Nov-2020 11:48 AM,finsummary_23967.pdf (1601.28 KB),1,72523,AK Films,28-Jan-2020 06:54 PM,Accepted-AOC,Lowest quoted responsive bidder,04-Nov-2020 01:38 PM,"Advisor(Transport), AIWTDS",Internal,,Dhrubajyoti Sarma,04-Nov-2020 11:16 AM,techsummary_23967.pdf (216.66 KB),04-Nov-2020,INR 450000.0,140.0,Dhrubajyoti Sarma,04-Nov-2020 01:38 PM,FilmContract.pdf (2468.00 KB),Rs 450000 plus GST,AOC,"Addl State Project Director, AIWTDS","AIWTD Society, 3rd floor of DIWT office, Ulubari, Guwahati-07",0.0,No,fixed,,Nil,Nil,Assam Inland Water Transport Development Society,AIWTDS/103/2018/238,2020_AIWTD_15851_1,Yes,Open Tender,Lump-sum,Services,1.0,No,No,Not Applicable,No,No,No,0.0,Nil,Nil,No,"Filming the Assam Inland Water Transport- History, Transition and its future","Filming the Assam Inland Water Transport- History, Transition and its future",Please refer Tender documents. ,NA ,"20,00,000",Miscellaneous Services,NA ,Tender,120.0,140.0,AIWTD Society,781007.0,NA ,NA ,NA ,AIWTD Society office,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Incorporation/Partnership deed or firm registration,11-Jan-2020 09:00 AM,10-Feb-2020 04:00 PM,11-Jan-2020 09:05 AM,10-Feb-2020 02:00 PM,NA ,NA ,24-Jan-2020 09:00 AM,10-Feb-2020 02:00 PM,1.0,CORRIGENDUM 1,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,2,73007,BHAVYA PRODUCTION,03-Feb-2020 11:30 AM,Rejected-AOC,responsive,04-Nov-2020 01:38 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Trade License, valid GST registration certificate",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,74767,B P Enterprise,10-Feb-2020 01:20 PM,Rejected-Technical,non responsive,04-Nov-2020 11:16 AM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Average annual turnover, details of litigation, copies of completion certificate or work order",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,74035,CHITRALEKHA STUDIOS PVT LTD,03-Feb-2020 12:40 PM,Rejected-Technical,non responsive,04-Nov-2020 11:16 AM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"CD of the work, credebtials of individual film maker/directors",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,72635,COMFED PRODUCTIONS PVT. LTD.,01-Feb-2020 12:55 PM,Rejected-Technical,non responsive,04-Nov-2020 11:16 AM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Awards and accolades at National/ state level,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,72498,H N Films,24-Jan-2020 01:03 PM,Rejected-AOC,substantially responsive,04-Nov-2020 01:38 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Team composition, qualification and Approach and methodology",,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,73999,Pumpkin Entertainment,03-Feb-2020 11:23 AM,Rejected-AOC,substantially responsive,04-Nov-2020 01:38 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,74690,Ra film Studio,10-Feb-2020 09:39 AM,Rejected-AOC,substantially responsive,04-Nov-2020 01:38 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,73901,Step Ahead,01-Feb-2020 01:51 PM,Rejected-Technical,non responsive,04-Nov-2020 11:16 AM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,73377,Trikuta Communications (P) ltd,31-Jan-2020 07:15 PM,Rejected-Technical,non responsive,04-Nov-2020 11:16 AM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
