Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",Job 2 A.R and M.O of Laluwal to Gondpur Road km.0-0 to 6-0 link road Gurplah to Gondpur Road km. 6-0 to 8-300 and Ajouli Santoshgarh Polian Road km. 3-700 to 7-700 Sub Head P.L Patch work in various RDs,Job 2 A.R and M.O of Laluwal to Gondpur Road km.0-0 to 6-0 link road Gurplah to Gondpur Road km. 6-0 to 8-300 and Ajouli Santoshgarh Polian Road km. 3-700 to 7-700 Sub Head P.L Patch work in various RD,Please refer to Bidding Documents ,NA ,"9,67,937",Civil Works - Roads,NA ,Tender,120.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,FDR - Fixed Deposit,"19,400",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,15-Jun-2020 10:00 AM,22-Jun-2020 11:00 AM,15-Jun-2020 10:30 AM,22-Jun-2020 09:00 AM,NA ,NA ,15-Jun-2020 10:30 AM,22-Jun-2020 09:00 AM,29-Jun-2020 10:00 AM,PWD,Job 2 A.R and M.O of Laluwal to Gondpur Road,2020_PWD_38018_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),AOC,1.0,163410.0,Tilak Raj Govt Contractor,INR,"1,430,550",Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,29-Jun-2020 07:04 PM,finance_56013.pdf,BOQ Comparative Chart,1.0,163306.0,Amrik Singh,19-Jun-2020 09:58 AM,Rejected-AOC,ok,02-Nov-2020 10:02 AM,Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,22-Jun-2020 01:38 PM,technical_56013.pdf,PWD,2020_PWD_38018_1,Job 2 A.R and M.O of Laluwal to Gondpur Road,Job 2 A.R and M.O of Laluwal to Gondpur Road km.0-0 to 6-0 link road Gurplah to Gondpur Road km. 6-0 to 8-300 and Ajouli Santoshgarh Polian Road km. 3-700 to 7-700 Sub Head P.L Patch work in various RDs,Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO Jagpal Singh Supdt. Gr-II Tara Singh Supdt Gr-II , Kamal Sr. Asstt.",Gurcharan Singh Rana,26-Jun-2020 04:08 PM,29-Jun-2020 10:00 AM,techsummary_56013.pdf (480.99 KB),Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Tara Singh Superintendent Gr-II , Prem Chand Sr. Asstt. Kamal Sr. Assistant",Gurcharan Singh Rana,29-Jun-2020 07:28 PM,finsummary_56013.pdf (465.63 KB),29-Oct-2020,"INR 967,937",60.0,Gurcharan Singh Rana,02-Nov-2020 10:00 AM,Awardletter.pdf (936.00 KB),Awardletter,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),AOC,,,,,,,,,,,,2.0,163350.0,Arpit Prashar,19-Jun-2020 01:09 PM,Rejected-Technical,As per technical Evaluation,26-Jun-2020 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),AOC,,,,,,,,,,,,3.0,163410.0,Tilak Raj Govt Contractor,21-Jun-2020 02:33 PM,Accepted-AOC,ok,02-Nov-2020 10:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit regarding no litigation with the department,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
