S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,179405.0,Tej Singh Contractor,INR,"3,957,791",Finance,fbosummarypbmc,Jitender Kumar,08-Oct-2020 04:26 PM,finance_60466.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,30-Sep-2020 01:35 PM,technical_60466.pdf,1.0,179466.0,Ajeet Sharma,25-Sep-2020 03:53 PM,Rejected-Finance,L-2,15-Oct-2020 01:06 PM,18-Nov-2020,"INR 3,957,791",365.0,Jitender Kumar,24-Nov-2020 11:34 AM,AOC40977.PDF (131.00 KB),AOC,Er. J.K. Gupta,Internal,AE Panarsa DAO Supdt. HDM,Jitender Kumar,15-Oct-2020 01:04 PM,finsummary_60466.pdf (130.07 KB),Er. J.K. Gupta,Internal,DAO Supdt. HDM,Jitender Kumar,05-Oct-2020 11:02 AM,07-Oct-2020 11:00 AM,techsummary_60466.pdf (139.78 KB),PWD,2020_PWD_40977_1,PW-MDI-Tender-NIT- 9760-95 dated 08.09.2020,Routine Maintenance of Aut Takoli Prasher road Km 0/0 to 27/0 in District Mandi Himachal Pradesh under Performance Based Maintenance Contract.,AOC,"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,22-Sep-2020 10:00 AM,29-Sep-2020 11:30 AM,22-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,NA ,NA ,22-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,07-Oct-2020 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in IFB,PWD,PW-MDI-Tender-NIT- 9760-95 dated 08.09.2020,2020_PWD_40977_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Routine Maintenance of Aut Takoli Prasher road Km 0/0 to 27/0 in District Mandi Himachal Pradesh under Performance Based Maintenance Contract.,Routine Maintenance of Aut Takoli Prasher road Km 0/0 to 27/0 in District Mandi Himachal Pradesh under Performance Based Maintenance Contract.,As per bid documents ,NA ,"39,66,195",Civil Works - Roads,NA ,Tender,120.0,365.0,Panarsa,175121.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,"67,000",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,179405.0,Tej Singh Contractor,26-Sep-2020 09:57 AM,Accepted-AOC,AOC,24-Nov-2020 11:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool plant regarding affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Pan card refer to Clause no4.3(B)(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Information regarding any litigation or arbitration during the last 5 Years as per ITB Cl. QB4.1.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with the Bid is correct refer to Clause 4.3(B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Annual Final Turn over from CA during the last five Year for bidding capacity refer to Clause ITB4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Satisfactory completed as prime cont. at least one road work refer to clause No ITB 4.3 b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
