S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
1.0,155800.0,Ankush kumar,INR,"4,253,638",Finance,SUMMARY,Rattan Kumar Sharma,23-Apr-2020 04:26 PM,finance_52775.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,20-Mar-2020 02:56 PM,technical_52775.pdf,1.0,155800.0,Ankush kumar,19-Mar-2020 01:34 PM,Accepted-AOC,AOC,25-Nov-2020 04:15 PM,Executive Engineer,Internal,Superintendent G-II DAO DHD,Rattan Kumar Sharma,25-Nov-2020 04:07 PM,finsummary_52775.pdf (284.96 KB),25-Nov-2020,"INR 4,253,638",120.0,Rattan Kumar Sharma,25-Nov-2020 04:12 PM,89.pdf (4638.00 KB),AOC,PWD,2020_PWD_35900_3,11216 DATED 03.03.2020,"Periodical maintenance on Charna Bhawai Sangrah road, Nohra Bharari road , Haripurdhar Kupvi road and Approach road PWD Rest House Ghandoori",Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,22-Apr-2020 11:39 AM,22-Apr-2020 12:15 PM,techsummary_52775.pdf (560.74 KB),AOC,PWD,11216 DATED 03.03.2020,2020_PWD_35900_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","53,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,"Periodical maintenance on Charna Bhawai Sangrah road, Nohra Bharari road , Haripurdhar Kupvi road and Approach road PWD Rest House Ghandoori","P/L 20mm Premix carpet on Charna Bhawai Sangrah road in km 5/00 to 7/00 ,Nohra Bharari road in km 13/00 to 14/500, Haripurdhar Kupvi road in km 6/00 to 6/500 and Rest House Ghandoori km 0/00 to 0/420 including construction of road side drain)",Please refer Tender documents. ,NA ,"30,41,959",Civil Works,NA ,Tender,90.0,120.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"1,500","Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,05-Mar-2020 02:00 PM,20-Mar-2020 11:30 AM,05-Mar-2020 02:00 PM,19-Mar-2020 05:00 PM,NA ,NA ,05-Mar-2020 02:00 PM,19-Mar-2020 05:00 PM,22-Apr-2020 12:15 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,AOC
