S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Corrigendum No.2,Date,,"Executive Engineer, NH Division HPPWD Solan","Executive Engineer, NH Division HPPWD Solan",25-Sep-2020 05:00 PM,15-Oct-2020 11:00 AM,25-Sep-2020 05:00 PM,15-Oct-2020 10:30 AM,NA ,NA ,25-Sep-2020 05:00 PM,15-Oct-2020 10:30 AM,24-Oct-2020 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money deposit,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,Construction of Entry Gate at RD 63/165 on NH 5 Parwanoo in the State of Himachal Pradesh,Construction of Entry Gate at RD 63/165 on NH 5 Parwanoo in the State of Himachal Pradesh,As per tender document ,NA ,"39,57,750",Civil Works,NA ,Tender,120.0,60.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,"1,500","Executive Engineer, NH Division HPPWD Solan","Executive Engineer, NH Division HPPWD Solan",No,PWD,3319-44,2020_PWD_41123_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"67,000",No,fixed,,"Executive Engineer, NH Division HPPWD Solan","Executive Engineer, NH Division HPPWD Solan",Er Kulbir Singh Thakur EE,Internal,Ms Akriti Aggarwal AO Sh Ghanshyam Mehta HDM Sh Rajinder Kumar Supdt Mrs Samriti Verma TA,Kulbir Singh Thakur,24-Oct-2020 12:15 PM,24-Oct-2020 01:00 PM,techsummary_60675.pdf (289.57 KB),PWD,2020_PWD_41123_1,3319-44,Construction of Entry Gate at RD 63/165 on NH 5 Parwanoo in the State of Himachal Pradesh,06-Nov-2020,"INR 3,769,690",60.0,Kulbir Singh Thakur,08-Aug-2023 03:07 PM,vikrantLOA.pdf (506.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,24-Oct-2020 03:47 PM,finsummary_60675.pdf (255.79 KB),1.0,182603.0,Anand Enterprises,15-Oct-2020 10:13 AM,Rejected-Finance,Being L2,24-Oct-2020,Technical,Technical bid opening summary,Kulbir Singh Thakur,24-Oct-2020 12:10 PM,technical_60675.pdf,Finance,Financial Bid opening,Kulbir Singh Thakur,24-Oct-2020 03:42 PM,finance_60675.pdf,BOQ Comparative Chart,1.0,182557.0,Vikrant Sharma,INR,"3,769,690"
,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182443.0,Happy Art Service,14-Oct-2020 03:58 PM,Rejected-Technical,Non-Responsive,24-Oct-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Sales Tax / GST,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,182557.0,Vikrant Sharma,15-Oct-2020 08:24 AM,Accepted-AOC,Being L1,08-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,182532.0,Whizkids,14-Oct-2020 09:34 PM,Rejected-Technical,Non-Responsive,24-Oct-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding both gazetted and non gazetted employees of HPPWD related to him,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Form of bid,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,EPF number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Report of CA showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
