S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,185013.0,Akshay Acharya,INR,"962,618",Finance,Financial bid open successfuly,Sanjiv Kumar,21-Nov-2020 02:48 PM,finance_61708.pdf,BOQ Comparative Chart,Technical,2 bidders participated in this work and found responsive,Sanjiv Kumar,09-Nov-2020 03:33 PM,technical_61708.pdf,1.0,185013.0,Akshay Acharya,05-Nov-2020 09:31 AM,Accepted-AOC,Lower Side,21-Nov-2020 02:53 PM,EE Baijnath,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,21-Nov-2020 02:49 PM,finsummary_61708.pdf (103.81 KB),21-Nov-2020,"INR 735,547",30.0,Sanjiv Kumar,21-Nov-2020 02:50 PM,awardtehar.pdf (165.00 KB),PWD,2020_PWD_41809_1,PWD-BD-NIT-2019-20-12881-12945,Periodic Maintenace Link road Tehad Uperli to Kudang Road DRRP No. HP0407VR00351201 Performance Based Financial incentive PMGSY 2019-20 Part-I,Er SK Sood,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,09-Nov-2020 03:34 PM,12-Nov-2020 11:00 AM,techsummary_61708.pdf (265.95 KB),AOC,350.0,EE HPPWD Baijnath,Baijnath,No,PWD,PWD-BD-NIT-2019-20-12881-12945,2020_PWD_41809_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"14,800",No,fixed,,EE HPPWD Baijnath,Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,Periodic Maintenace Link road Tehad Uperli to Kudang Road DRRP No. HP0407VR00351201 Performance Based Financial incentive PMGSY 2019-20 Part-I,P/L Built up spray grout single layer tack coat and 30mm thick Bitumenious concrete in Km 0/0 to 0/900,Please refer Tender documents. ,NA ,"7,35,547",Civil Works - Roads,NA ,Tender,120.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,22-Oct-2020 10:00 AM,05-Nov-2020 11:00 AM,22-Oct-2020 11:00 AM,05-Nov-2020 10:30 AM,NA ,NA ,22-Oct-2020 02:00 PM,05-Nov-2020 10:30 AM,12-Nov-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,185001.0,G.P.ACHARYA,05-Nov-2020 09:20 AM,Rejected-Finance,Higher Side,21-Nov-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Upload GST Registration Clearance Copy and PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar work done amount not less than 40 percent of the estimated cost (without LD) in last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
