Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,BOS,Chaman Singh,13-Aug-2020 04:47 PM,technical_58147.pdf,1.0,172798.0,Ajay Kumar Sharma,12-Aug-2020 01:25 PM,Rejected-AOC,2nd lowest.,04-Nov-2020 04:37 PM,1.0,172839.0,Bhupinder Paul Mahajan,INR,"4,051,707",Finance,FBOS,Chaman Singh,21-Aug-2020 05:42 PM,finance_58147.pdf,BOQ Comparative Chart,Superinteding Engineer 1st Circle Mandi,Internal,EE (D) 1st Circle Mandi E.E. Sundernagar C.H.D Supdt (Works),Chaman Singh,04-Nov-2020 04:32 PM,finsummary_58147.pdf (9504.09 KB),04-Nov-2020,"INR 4,051,707",60.0,Chaman Singh,04-Nov-2020 04:34 PM,AOC.pdf (9504.00 KB),AOC issued after negotiation.,PWD,2020_PWD_39380_1,PW-SNR-CB-E-Tender/20-5024-26 dt.18.07.2020,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),Er D.R. Chauhan Execuitve Engineer,Internal,Er N. R. Chandel AE Suket Sushil Kumar DAO Gr-I Girja Sharma Supdt. Gr-II Amar Singh HDM,Chaman Singh,19-Aug-2020 02:07 PM,19-Aug-2020 02:30 PM,techsummary_58147.pdf (1296.97 KB),AOC,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,"1,500",EE Sundernagar,Sundernagar,No,29-Jul-2020 01:00 PM,13-Aug-2020 11:00 AM,29-Jul-2020 01:00 PM,12-Aug-2020 06:00 PM,NA ,NA ,29-Jul-2020 01:15 PM,12-Aug-2020 06:00 PM,19-Aug-2020 02:30 PM,"51,000",No,fixed,,EE Sundernagar,Sundernagar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Annual Surfacing on Slapper Tattapani Suni Luhari road (MDR),"SH Providing and laying 30mm thick bituminous concrete including profile correction, V-shape drain and road marking in Km 47/0 to 50/0.",As per bid document ,NA ,"28,89,408",Civil Works,Tarring ,Tender,120.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,PWD,PW-SNR-CB-E-Tender/20-5024-26 dt.18.07.2020,2020_PWD_39380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,2.0,172839.0,Bhupinder Paul Mahajan,12-Aug-2020 03:09 PM,Accepted-AOC,Found lowest,04-Nov-2020 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
