Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Sunil Kumar AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,14-Oct-2020 01:34 PM,finsummary_60791.pdf (486.12 KB),11-Nov-2020,"INR 1,395,835",90.0,Gurcharan Singh Rana,13-Nov-2020 12:08 PM,Awardletter.pdf (926.00 KB),Award letter,PWD,2020_PWD_41202_1,Job 2 Restoration of rain damages on link road to,Job 2 Restoration of rain damages on link road to Khatrian Mohalla village Saloh Sub Head Remodelling of solid causeway at RD.0-100 DC Deposit,Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,13-Oct-2020 05:13 PM,14-Oct-2020 10:00 AM,techsummary_60791.pdf (307.56 KB),Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,09-Oct-2020 10:23 AM,technical_60791.pdf,1.0,181345.0,Ashwani Kumar,06-Oct-2020 08:04 PM,Accepted-AOC,ok,13-Nov-2020 12:11 PM,Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,14-Oct-2020 01:17 PM,finance_60791.pdf,BOQ Comparative Chart,1.0,181345.0,Ashwani Kumar,INR,"1,286,328",AOC,PWD,Job 2 Restoration of rain damages on link road to,2020_PWD_41202_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"28,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,01-Oct-2020 10:00 AM,08-Oct-2020 11:00 AM,01-Oct-2020 10:30 AM,08-Oct-2020 09:00 AM,NA ,NA ,01-Oct-2020 10:30 AM,08-Oct-2020 09:00 AM,14-Oct-2020 10:00 AM,1.0,FDR - Fixed Deposit,Job 2 Restoration of rain damages on link road to Khatrian Mohalla village Saloh Sub Head Remodelling of solid causeway at RD.0-100 DC Deposit,Job 2 Restoration of rain damages on link road to Khatrian Mohalla village Saloh Sub Head Remodelling of solid causeway at RD.0-100 DC Deposit,Please refer to Bidding Documents ,NA ,"13,95,835",Civil Works - Roads,NA ,Tender,120.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181330.0,Balbir Singh Govt Contractor,06-Oct-2020 06:22 PM,Rejected-AOC,ok,13-Nov-2020 12:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181525.0,Shiv Kumar,07-Oct-2020 08:50 PM,Rejected-AOC,ok,13-Nov-2020 12:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
