,rescue operation,District,Agency,,,Boats Deployed,Person Evacuate,Animal Evacuate,Helicopters,Person Evacuated,Medical Team,Date
0,,,,,,,d By Boats,d By Boats,Deployed,By Helicopters,Deployed,04-07-2022
1,,Bajali,,,,0,0,0,0,0,2,04-07-2022
2,,Barpeta,"Veterinary dept organised 5 nos of Treatment camp in 1. Sikatary Pathar,2. Hapachar Pathar,3. Tarakandi,4. Lachanga,5. Mowamari village",,,0,0,0,0,0,0,04-07-2022
3,,Cachar,,,,0,0,0,0,0,15,04-07-2022
4,,Chirang,,,,0,0,0,0,0,3,04-07-2022
5,,Darrang,,,,0,0,0,0,0,4,04-07-2022
6,,Dibrugarh,,,,0,0,0,0,0,27,04-07-2022
7,,Dima-Hasao,"Civil Defence/Trained Volunteers, Water Resources Department, NHAI, PWRD, APDCL",,,0,0,0,0,0,15,04-07-2022
8,,Goalpara,,,,0,0,0,0,0,1,04-07-2022
9,,Golaghat,,,,0,0,0,0,0,1,04-07-2022
10,,Hailakandi,,,,0,0,0,0,0,40,04-07-2022
11,,Hojai,,,,0,0,0,0,0,3,04-07-2022
12,,Karimganj,,,,2,0,0,0,0,14,04-07-2022
13,,Nagaon,"Circle Office/Local Administration, Local People, SDRF",,,1,0,0,0,0,16,04-07-2022
14,,Sonitpur,,,,0,0,0,0,0,4,04-07-2022
15,,Total,,,,3,0,0,0,0,145,04-07-2022
