Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2022_HPIPH_55710_1,THL-KNG05-729 (16698-773 dated 14.01.2022),"Providing source level augumantaion for multi villages schemes i.e. LWSS Andrana Bandhan,LWSS Alampur,LWSS Harsi Sanghole,LWSS Tikkari Ghumarnu,LWSS Upper Lambagaon, LWSS Harot Karanghat,LWSS Uttrapur under Jal Jeevan Mission block in Lambagaon under",1.0,255902.0,HARJEET SINGH,INR,"687,036,186",Engineer-In-Cheif Jal Shakti vibhag Shimla,External,"CE(DZ)Dharamshala,SE,Pi-1 Jal Shakti Bhawan Shimla,SE,JSV Dharamshala,SE(D)JSV(DZ) Dharamshala,EE(D)D-11 Jal Shakti Bhawan Shimla",Anil Kumar,18-Feb-2022 05:20 PM,finsummary_83705.pdf (2778.72 KB),Engineer-In-Cheif Jal Shakti vibhag Shimla,Internal,"CE (DZ) Dharmashala , SE, PI-I Jal Shakti Bhawan Shimla,SE JSV Dharamshala,SE (D) JSV (DZ) Dharamshala,EE,D-II PI-I,Jal Shakti Bhawan Shimla,Joint Contraoller (FA) Jal Shakti Bhawan Shimla,EE JSV T",Anil Kumar,18-Feb-2022 04:41 PM,18-Feb-2022 04:45 PM,techsummary_83705.pdf (2778.72 KB),1.0,255902.0,HARJEET SINGH,29-Jan-2022 09:28 AM,Accepted-AOC,accept,09-Jun-2022 11:02 AM,01-Jun-2022,"INR 687,036,186",730.0,Anil Kumar,09-Jun-2022 11:02 AM,AOC.pdf (58.00 KB),Sh. Harjeet Singh R/O Jawahar Nagar Mandi (HP,Finance,BOQ downloaded sucessfully summary attached,Anil Kumar,18-Feb-2022 05:13 PM,finance_83705.pdf,BOQ Comparative Chart,Technical,3 Nos contractor/Firm bid documents downloaded sucessfully summary attached,Anil Kumar,18-Feb-2022 04:29 PM,technical_83705.pdf,AOC,"Providing source level augumantaion for multi villages schemes i.e. LWSS Andrana Bandhan,LWSS Alampur,LWSS Harsi Sanghole,LWSS Tikkari Ghumarnu,LWSS Upper Lambagaon, LWSS Harot Karanghat,LWSS Uttrapur under Jal Jeevan Mission block in Lambagaon under","Providing source level augumantaion for multi villages schemes i.e. LWSS Andrana Bandhan,LWSS Alampur,LWSS Harsi Sanghole,LWSS Tikkari Ghumarnu,LWSS Upper Lambagaon, LWSS Harot Karanghat,LWSS Uttrapur under Jal Jeevan Mission block in Lambagaon under",Please refer Tender documents. ,NA ,"56,87,20,461",Civil Works - Water Works,NA ,Tender,120.0,730.0,Under AE JSV Sub Division Lambabagaon,176107.0,O/O Engineer in chief tutikandi shimla ,"Engineer in Chief Jal Shakti Vibhag, Jal Shakti Bhawan Tutikandi Shimla  ",20-Jan-2022 11:00 AM ,O/O The Executive Engineer JSV Division Thural,No ,No,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (16698-773 dated 14.01.2022),2022_HPIPH_55710_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,"2,500",EE JSV Division Thural,EE JSV Division Thural,No,1.0,Pre bid meeting post pond,Date,,1.0,Fee/PreQual/Technical,.pdf,"The Bid security in favour of Executive Engineer, Jal Shakti Division Thural, shall be submitted eit",14-Jan-2022 05:30 PM,29-Jan-2022 12:30 PM,14-Jan-2022 05:30 PM,29-Jan-2022 12:00 PM,NA ,NA ,14-Jan-2022 05:30 PM,29-Jan-2022 12:00 PM,18-Feb-2022 04:45 PM,"56,87,500",No,fixed,,EE JSV Division Thural,EE JSV Division Thural,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,258670.0,Laxmi Civil Engineering Services Pvt. Ltd.,28-Jan-2022 05:12 PM,Rejected-AOC,accept,09-Jun-2022 11:02 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online mode (e-payment) or through offline m,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,259014.0,Unipro Techno Infrastructure Pvt Ltd,28-Jan-2022 05:58 PM,Rejected-AOC,accept,09-Jun-2022 11:02 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with Jal Shakti Vibhag or any other state/central Govt. departm,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration. If not registered then the successful bidder should get re,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria, Financial qualification ,Simil",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN ,GST registration,",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized by t,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Value of Civil Engineering works executed during the last five years updated to the price level of,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The contractor / firm must upload calculations and size of various components of WTP along with thei,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The technical bid should contain make and model of energy efficient pumping machinery along with pum,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other conditions as per,NIT,Form6,12,Technical specification,data sheet",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
