EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"36,600",No,fixed,,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Padhar,500.0,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Padhar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),PWD,PW-MDI(P)Tender-NIT- 1164-99 dated 05.05.2022,2022_PWD_60736_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,18-May-2022 11:30 AM,25-May-2022 11:30 AM,18-May-2022 11:30 AM,24-May-2022 05:00 PM,NA ,NA ,18-May-2022 11:30 AM,24-May-2022 05:00 PM,30-May-2022 11:00 AM,Construction of CHC Building (Now 50 bedded Hospital) at Padhar District Mandi (H.P.).,Construction of breast wall at back side of building at R.D. 0/0 to 0/040,As per bid documents ,NA ,"18,30,175",Civil Works - Roads,NA ,Tender,90.0,90.0,Padhar,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,ICICI BANK,AOC,PWD,2022_PWD_60736_1,PW-MDI(P)Tender-NIT- 1164-99 dated 05.05.2022,Construction of CHC Building (Now 50 bedded Hospital) at Padhar District Mandi (H.P.).,Er. J.K. Gupta,Internal,AE Padhar Divn. Accountant,Jitender Kumar,28-May-2022 04:53 PM,30-May-2022 11:00 AM,techsummary_91752.pdf (1005.33 KB),Er. J.K. Gupta,Internal,AE Padhar HDM Supdt. Divn. Accountant(P),Jitender Kumar,16-Jun-2022 11:27 AM,finsummary_91752.pdf (448.26 KB),16-Jun-2022,"INR 1,830,175",90.0,Jitender Kumar,16-Jun-2022 11:29 AM,AOCchc.PDF (381.00 KB),Award letter No. 2972-78,1.0,283577.0,Gaurav Thakur,24-May-2022 01:46 PM,Rejected-Technical,Non-Responsive,28-May-2022 04:53 PM,Technical,summary,Jitender Kumar,27-May-2022 05:47 PM,technical_91752.pdf,1.0,283614.0,Vinod Kumar,INR,"1,592,252.35",Finance,summary,Jitender Kumar,31-May-2022 11:36 AM,finance_91752.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283612.0,LABH SINGH CONTRACTOR,24-May-2022 03:16 PM,Rejected-Finance,L-4,16-Jun-2022 11:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283601.0,LEKH RAJ,24-May-2022 02:51 PM,Rejected-Finance,L-3,16-Jun-2022 11:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,283470.0,Rajender Pal,23-May-2022 05:52 PM,Rejected-Finance,L-2,16-Jun-2022 11:27 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,283614.0,Vinod Kumar,24-May-2022 03:26 PM,Accepted-AOC,AOC,16-Jun-2022 11:29 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
