Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,19-Apr-2022 08:26 PM,finsummary_86982.pdf (176.08 KB),07-Jun-2022,"INR 1,617,169",90.0,Tarlok Dhiman,07-Jun-2022 05:53 PM,57542_2.pdf (1528.00 KB),Shri Gandharav Singh,PWD,2022_PWD_57542_2,dshala 11516-46,Periodic Maintenance of Yol Bazar to Chhatair - II Road under AMP 2022-23 PMGSY Road in Distt. Kangra HP,Er S.K.Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ravi Kant Supdt. Smt. Anita Kumari JDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,24-Mar-2022 03:23 PM,24-Mar-2022 03:30 PM,techsummary_86982.pdf (694.97 KB),Technical,As per document attached,Sushil Kumar Dhadwal,22-Mar-2022 01:25 PM,technical_86982.pdf,1.0,270362.0,Gandhrav Singh & Sons (Org),19-Mar-2022 10:07 PM,Rejected-Finance,L2,19-Apr-2022 08:26 PM,1.0,270137.0,Navneet Thakur,INR,"1,617,169",Finance,As per document attached,Tarlok Dhiman,24-Mar-2022 04:19 PM,finance_86982.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,Executive Engineer,Executive Engineer HP PWD DHaramshala,500.0,Nil,Nil,No,1.0,ICICI BANK,07-Mar-2022 06:55 PM,21-Mar-2022 03:30 PM,07-Mar-2022 06:55 PM,21-Mar-2022 03:00 PM,NA ,NA ,07-Mar-2022 06:55 PM,21-Mar-2022 03:00 PM,24-Mar-2022 03:30 PM,"30,800",No,fixed,,Nil,Nil,Periodic Maintenance of Yol Bazar to Chhatair - II Road under AMP 2022-23 PMGSY Road in Distt. Kangra HP,SH - Providing and Laying 30mm thick Bituminous Concrete laying with Paver Finisher in km 1/000 to 2/140,Please refer Tender documents. ,NA ,"15,53,203",Civil Works,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,dshala 11516-46,2022_PWD_57542_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270137.0,Navneet Thakur,17-Mar-2022 06:09 PM,Accepted-AOC,L1,07-Jun-2022 05:53 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors registration,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery including Hot Mix plant and vibrator roller with proof and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
