Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Bid opening summary,Naveen Singh Kaundal,18-Aug-2021 02:35 PM,technical_76199.pdf,1.0,230283.0,KULDEEP KUMAR VERMA,16-Aug-2021 03:08 PM,Accepted-AOC,L1 Bidder,28-Jun-2022 05:52 PM,1.0,230283.0,KULDEEP KUMAR VERMA,INR,"2,462,570",Finance,Bid opening summary,Naveen Singh Kaundal,04-Oct-2021 05:18 PM,finance_76199.pdf,BOQ Comparative Chart,Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,04-Oct-2021 05:23 PM,finsummary_76199.pdf (605.35 KB),28-Jun-2022,"INR 2,579,978",30.0,Parveen Kumar Verma,28-Jun-2022 05:52 PM,AOC-JalogKothiAMP.pdf (318.00 KB),AOC,PWD,2021_PWD_50970_1,PW-SRDD-CB-CTR-2021-5224-73 dated 26-07-2021,Annual Surfacing on Jalog Kothi Road km. 0/00 to 5/300,Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Suresh Kumar Verma HDM.",Naveen Singh Kaundal,01-Oct-2021 12:54 PM,01-Oct-2021 01:00 PM,techsummary_76199.pdf (668.05 KB),AOC,Annual Surfacing on Jalog Kothi Road km. 0/00 to 5/300,SH- Providing and laying 30 mm thick Bituminous concrete in between km. 1/00 to 2/00 and 3/00 to 4/00 under approved AMP for the F.Y. 2021-22.,as per tender documents ,NA ,"25,79,978",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,PWD,PW-SRDD-CB-CTR-2021-5224-73 dated 26-07-2021,2021_PWD_50970_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"51,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Shimla Rural Division HPPWD Dhami,"1,500",Nil,Nil,No,07-Aug-2021 06:55 PM,17-Aug-2021 11:00 AM,07-Aug-2021 06:55 PM,16-Aug-2021 05:00 PM,NA ,NA ,07-Aug-2021 06:55 PM,16-Aug-2021 05:00 PM,01-Oct-2021 01:00 PM,AOC
,,,,,2.0,230216.0,Parveen Kumar,16-Aug-2021 11:11 AM,Rejected-Finance,L3 Bidder,04-Oct-2021 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,3.0,229433.0,pramod kumar sharma,13-Aug-2021 10:43 AM,Rejected-Finance,L2 Bidder,04-Oct-2021 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,AOC
