Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE Shillai,Internal,"AE Shillai, HDM",Pramod Upreti,28-Aug-2021 05:45 PM,finsummary_76095.pdf (138.34 KB),30-Jun-2022,"INR 1,127,402",60.0,Pramod Upreti,30-Jun-2022 12:41 PM,anil.pdf (734.00 KB),AOC,PWD,2021_PWD_50879_7,TA-2021-3751-3850dt-24-7-2021,"Construction of link road from village Bharli to village Rudana Thada Zizla km. 0/0 to 4/00(SH- C/o 900mm dia Hume pipe culvert along with wing walls at RDs 2/730 , 2/920 and Breast walls at RDs 2/710 , 2/880)",EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,24-Aug-2021 12:49 PM,24-Aug-2021 02:00 PM,techsummary_76095.pdf (415.10 KB),Technical,technical summary,Pramod Upreti,24-Aug-2021 12:14 PM,technical_76095.pdf,1.0,229279.0,anil chauhan,11-Aug-2021 02:22 PM,Accepted-AOC,AOC,30-Jun-2022 12:41 PM,1.0,229279.0,anil chauhan,INR,"1,127,802",Finance,financial summary,Pramod Upreti,28-Aug-2021 05:41 PM,finance_76095.pdf,BOQ Comparative Chart,AOC,PWD,TA-2021-3751-3850dt-24-7-2021,2021_PWD_50879_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,05-Aug-2021 06:00 PM,12-Aug-2021 12:30 PM,05-Aug-2021 06:00 PM,11-Aug-2021 05:00 PM,NA ,NA ,05-Aug-2021 06:00 PM,11-Aug-2021 05:00 PM,24-Aug-2021 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"Construction of link road from village Bharli to village Rudana Thada Zizla km. 0/0 to 4/00(SH- C/o 900mm dia Hume pipe culvert along with wing walls at RDs 2/730 , 2/920 and Breast walls at RDs 2/710 , 2/880)","Construction of link road from village Bharli to village Rudana Thada Zizla km. 0/0 to 4/00(SH- C/o 900mm dia Hume pipe culvert along with wing walls at RDs 2/730 , 2/920 and Breast walls at RDs 2/710 , 2/880)",please refer to tender document ,NA ,"12,52,669",Civil Works - Roads,NA ,Rate Contract,90.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,"25,060",No,fixed,,Nil,Nil,EE Shillai,Executive Engineer HP PWD Division Shillai,1.0,ICICI BANK,500.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,229069.0,PRAVESH KUMAR,10-Aug-2021 04:58 PM,Rejected-Finance,Not lowest,28-Aug-2021 05:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,228899.0,Sanjeev Sharma,11-Aug-2021 02:14 PM,Rejected-Finance,Not lowest,28-Aug-2021 05:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,228236.0,SATISH KUMAR,07-Aug-2021 05:08 PM,Rejected-Finance,Not lowest,28-Aug-2021 05:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,229168.0,THAKUR CONSTRUCTION,11-Aug-2021 09:04 AM,Rejected-Finance,Not lowest,28-Aug-2021 05:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
