Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",Nil,Nil,No,Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR89) under AMP for the year 2022-2023,"Providing and laying 30mm thick bituminous concrete, hot applied thermoplastic reflective paint strip in K.M. 29/0 to 29/500, 29/500 to 30/0 and 47/0 to 48/0 and 48/0 to 49/0",Please refer Tender documents. ,NA ,"65,29,851",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,10-Mar-2022 10:00 AM,17-Mar-2022 11:30 AM,10-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,NA ,NA ,10-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,22-Mar-2022 11:30 AM,"1,30,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,PWD,EE Salooni Letter No. 10966-11016 dated 24-02-2022,2022_PWD_57733_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,1.0,ICICI BANK,AOC,1.0,269349.0,sahab singh thakur,INR,"6,523,321",Finance,Bid opening Summary,Deepak Mahajan,29-Apr-2022 11:38 AM,finance_87156.pdf,BOQ Comparative Chart,1.0,269886.0,Kamal Thakur,16-Mar-2022 11:41 AM,Rejected-Finance,Other Than Lowest,29-Apr-2022 11:42 AM,Technical,Bid Opening Summary,Deepak Mahajan,19-Mar-2022 06:29 PM,technical_87156.pdf,PWD,2022_PWD_57733_1,EE Salooni Letter No. 10966-11016 dated 24-02-2022,Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR89) under AMP for the year 2022-2023,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,19-Mar-2022 06:31 PM,22-Mar-2022 11:30 AM,techsummary_87156.pdf (362.04 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,29-Apr-2022 11:42 AM,finsummary_87156.pdf (18.18 KB),30-Apr-2022,"INR 6,529,851",90.0,Deepak Mahajan,28-Jun-2022 12:31 PM,AL.pdf (1255.00 KB),Award Letter,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,269349.0,sahab singh thakur,16-Mar-2022 08:36 PM,Accepted-AOC,Work in progress,28-Jun-2022 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
