Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Executive Engineer,Division HPPWD Kotkhai,C/o Tharolla Balog Pujahi Road in K.M. 0/00 to 6/00,"C/o, R/Wall at R.D. 0/552.50 to 0/562.50",Please refer Tender documents. ,NA ,"8,30,422",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,PWD,PW-KD-E-Tender/2021-22-5626-28 dt 19-01-2022,2022_PWD_56221_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,31-Jan-2022 04:00 PM,08-Feb-2022 11:00 AM,31-Jan-2022 04:00 PM,07-Feb-2022 06:00 PM,NA ,NA ,31-Jan-2022 04:00 PM,07-Feb-2022 06:00 PM,25-Feb-2022 02:40 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"16,700",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,1.0,ICICI BANK,AOC,1.0,261617.0,BRIJ LAL GOVT. CONTRACTOR,07-Feb-2022 01:29 PM,Accepted-AOC,Awarded to lowest bidder,25-Jun-2022 03:48 PM,Technical,summary uploaded,Ramesh Rana,25-Feb-2022 02:12 PM,technical_84577.pdf,1.0,261617.0,BRIJ LAL GOVT. CONTRACTOR,INR,"910,154",Finance,summary uploaded,Ramesh Rana,27-Mar-2022 08:05 PM,finance_84577.pdf,BOQ Comparative Chart,PWD,2022_PWD_56221_5,PW-KD-E-Tender/2021-22-5626-28 dt 19-01-2022,C/o Tharolla Balog Pujahi Road in K.M. 0/00 to 6/00,Executive Engineer Kotkhai,Internal,"XEN, AE, HDM, Supdt, Sr. Asstt",Ramesh Rana,25-Feb-2022 02:38 PM,25-Feb-2022 02:40 PM,techsummary_84577.pdf (5457.49 KB),Executive Engineer,Internal,"XEN, AE, HDM, Supdt. Sr. Asstt",Ramesh Rana,27-Mar-2022 09:32 PM,finsummary_84577.pdf (186.07 KB),25-Jun-2022,"INR 830,422",60.0,Ramesh Rana,25-Jun-2022 03:48 PM,A.pdf (964.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,261647.0,SANJEEV KUMAR CONTRACTOR,07-Feb-2022 02:22 PM,Rejected-Finance,L2 BIDDER,27-Mar-2022 09:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
