Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"7,200","Empowered Officer, Assam State Road Board",GUWAHATI,No,"Chief Engineer (Roads), PWRD, Assam","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003","4,77,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,1.0,DD - Demand Draft,29-Dec-2021 06:00 PM,19-Jan-2022 02:30 PM,29-Dec-2021 06:00 PM,19-Jan-2022 02:00 PM,29-Dec-2021 06:00 PM ,19-Jan-2022 02:00 PM ,07-Jan-2022 02:00 PM,19-Jan-2022 02:00 PM,15-Feb-2022 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,Bid Security,RE_RIDF-XXVII_Mankachar_01 Improvement and strenghtening of road cum embankment of T/Dyke from Molakhowa to Kathalbari on Left Bank of river Jinjiram under RIDF-XXVII of NABARD for the year 2021-22 Mankachar LAC,RE_RIDF-XXVII_Mankachar_01 Improvement and strenghtening of road cum embankment of T/Dyke from Molakhowa to Kathalbari on Left Bank of river Jinjiram under RIDF-XXVII of NABARD for the year 2021-22 Mankachar LAC,Please refer Tender documents. ,NA ,"2,38,65,000",Civil Works,NA ,Tender,180.0,365.0,Mankachar,781003.0,"Development Branch, O/o the Chief Engineer (Roads) ","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003 ",05-Jan-2022 12:00 PM ,"O/o the Chief Engineer (Roads), PWRD, Assam",No ,No,Public Works Roads Department,CEDEV/RIDFXXVII/210/2021-22/01,2021_PWD_23865_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,27-Jun-2022,INR 2.14785E+7,365.0,MRIDUL TALUKDAR,27-Jun-2022 12:35 PM,scan0002.pdf (273.00 KB),Technical,Verified,MRIDUL TALUKDAR,15-Feb-2022 02:25 PM,technical_36612.pdf,1,129899,Ahmed Nur Alom,17-Jan-2022 07:23 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,CE,Internal,,MRIDUL TALUKDAR,27-Jun-2022 12:32 PM,finsummary_36612.pdf (348.81 KB),Finance,Financial Opened,BHABANANDA DEKA,15-Feb-2022 02:55 PM,,BOQ Comparative Chart,1.0,129549.0,MR SHOBHAN KUMAR SAHA,INR,21478500.0,"Chief Engineer, PWD, Roads, Assam, Chandmari, Ghy",Internal,,MRIDUL TALUKDAR,15-Feb-2022 02:28 PM,15-Feb-2022 02:30 PM,techsummary_36612.pdf (224.57 KB),Public Works Roads Department,2021_PWD_23865_9,CEDEV/RIDFXXVII/210/2021-22/01,RE_RIDF-XXVII_Mankachar_01 Improvement and strenghtening of road cum embankment of T/Dyke from Molakhowa to Kathalbari on Left Bank of river Jinjiram under RIDF-XXVII of NABARD for the year 2021-22 Mankachar LAC,AOC
,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,130229,ALI ASGAR,19-Jan-2022 12:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2022 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,130371,Competent Infrastructure and consulting(CICON) Pvt.Ltd,19-Jan-2022 12:10 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,129857,Dhrubajyoti Dutta,18-Jan-2022 04:50 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,130373,Fayzal Hoque,19-Jan-2022 12:13 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,130353,Mahmud Hassan,19-Jan-2022 11:47 AM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,129670,MOSTAQ MOHAMMAD MOKSEDUR HASSAN,15-Jan-2022 07:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2022 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,129549,MR SHOBHAN KUMAR SAHA,12-Jan-2022 08:48 PM,Accepted-AOC,Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,129883,M/S MANJULA CONSTRUCTION,17-Jan-2022 06:20 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,129715,M/S SBS SYSTEM,18-Jan-2022 01:45 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,130144,Nozrul Islam,18-Jan-2022 03:37 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,12,130106,SHAMIM AMEEN,18-Jan-2022 01:40 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,13,129850,UNICON PROJECTS PVT. LTD.,17-Jan-2022 04:25 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
