Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
21-Jun-2022,"INR 1,613,474",90.0,Jitender Kumar,25-Jun-2022 01:42 PM,AOCthaoo.PDF (774.00 KB),Award letter No. 4099-4110 dated 21/06/2022,Er. Sanjeev Sood,Internal,AE Kamand Supdt. HDM Divn. Accountant(P),Jitender Kumar,18-Jun-2022 12:05 PM,finsummary_92597.pdf (373.57 KB),Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jun-2022 01:48 PM,15-Jun-2022 11:00 AM,techsummary_92597.pdf (444.01 KB),PWD,2022_PWD_61339_1,PW-MDI(P)Tender-NIT- 1943-78 dated 20.05.2022,"Construction, M/T and C.D. work in link road Thaoo",Finance,fbosummary,Jitender Kumar,18-Jun-2022 11:40 AM,finance_92597.pdf,BOQ Comparative Chart,1.0,285281.0,BALI RAM,INR,"1,645,580.73",Technical,summary,Jitender Kumar,13-Jun-2022 11:00 AM,None,1.0,285281.0,BALI RAM,08-Jun-2022 06:02 PM,Accepted-AOC,AOC,25-Jun-2022 01:42 PM,AOC,03-Jun-2022 11:00 AM,10-Jun-2022 11:30 AM,03-Jun-2022 11:00 AM,10-Jun-2022 10:00 AM,NA ,NA ,03-Jun-2022 11:00 AM,10-Jun-2022 10:00 AM,15-Jun-2022 11:00 AM,"Construction, M/T and C.D. work in link road Thaoo",Providing and laying wearing and tarring and construction of V-shape drain in Km. 0/0 to 0/700,As per bid documents ,NA ,"16,13,474",Civil Works - Roads,NA ,Tender,90.0,90.0,Thaoo,175501.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),1.0,ICICI BANK,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,500.0,Nil,Nil,No,PWD,PW-MDI(P)Tender-NIT- 1943-78 dated 20.05.2022,2022_PWD_61339_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"32,300",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285744.0,LABH SINGH CONTRACTOR,07-Jun-2022 06:26 PM,Rejected-Finance,L-2,18-Jun-2022 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285731.0,RAJU RAM,07-Jun-2022 05:50 PM,Rejected-Finance,L-4,18-Jun-2022 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,285886.0,VIJAY KUMAR,08-Jun-2022 06:00 PM,Rejected-Finance,L-3,18-Jun-2022 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
