Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Health and Family Welfare Department||Directorate of Medical Education-HFWD||Assam Medical College Hospital-Dibrugarh-HFWD,2022_HFWD_24958_1,No.MCH/2022/7057 dtd. 01/04/2022,CATH LAB CONSUMABLES,1,145705,AAROGYA PHARMACEUTICALS,19-Apr-2022 05:24 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,02-Apr-2022 03:30 PM,26-Apr-2022 11:30 AM,02-Apr-2022 04:30 PM,20-Apr-2022 04:00 PM,NA ,NA ,08-Apr-2022 04:00 PM,20-Apr-2022 04:00 PM,25-May-2022 11:30 AM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Free details,CATH LAB CONSUMABLES,SUPPLY OF CATH LAB CONSUMABLES TO THE DEPTT. OF CARDIOLOGY AMCH DIBRUGARH,Please refer Tender documents. ,NA ,,Consumables (Hospital / Lab),NA ,Tender,730.0,15.0,ASSAM MEDICAL COLLEGE HOSPITAL DIBRUGARH,786002.0,CONFERENCE HALL  ,OFFICE OF THE PRINCIPAL-CUM-CHIEF SUPERINTENDENT AMCH DIBRUGARH  ,06-Apr-2022 02:00 PM ,CONFERENCE HALL,No ,No,Health and Family Welfare Department||Directorate of Medical Education-HFWD||Assam Medical College Hospital-Dibrugarh-HFWD,No.MCH/2022/7057 dtd. 01/04/2022,2022_HFWD_24958_1,Yes,Open Tender,Supply,Goods,2.0,No,Yes,Offline,No,No,No,SUPERINTENDENT,ASSAM MEDICAL COLLEGE HOSPITAL DIBRUGARH,"5,000",MEMBER SECRETARY HMS DIBRUGARH,SBI AMC BRANCH,No,1.0,acceptance,AOC,,"50,000",No,fixed,,MEMBER SECRETARY HMS DIBRUGARH,SBI AMC BRANCH,AOC
,,,,2,145703,G.D. ASSOCIATES,19-Apr-2022 05:23 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,2.0,BC - Bankers Cheque,,,.pdf,Tender Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Regarding Tender Opening date,Date,,,,,,,,AOC
,,,,3,146284,MAA SHAKTI MEDICOS,20-Apr-2022 01:48 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Replace/Changes of Brand Names,Financial Bid,,,,,,,,AOC
,,,,4,146290,M/S SATI DRUGS and SURGICALS,20-Apr-2022 01:51 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,145645,P. B. DRUGS SURGICALS,19-Apr-2022 02:14 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,146105,PEARL MED SCIENCES INDIA,19-Apr-2022 02:31 PM,Not Admitted-Fee/PreQual/Technical,"Others-Annual Turnover of M/S Pearl Med Sciences, Guwahati less than Rs.20/- Lakhs per annum",24-May-2022 10:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,146136,R.S.TRADING,19-Apr-2022 03:46 PM,Not Admitted-Fee/PreQual/Technical,Others-1. No physical document of Performance certificate/Order copy aubmitted. 2. undertakingnot submitted (i.e The bidder shall certify that the rates quoted are the lowest ones for any institution (Govt. or Private) in the state),24-May-2022 10:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,145759,SAHAJANAND LASER TECHNOLOGY LIMITED,18-Apr-2022 07:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-May-2022 10:03 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,145893,SPANDAN HEALTHCARE,18-Apr-2022 12:07 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,146269,United Traders,20-Apr-2022 12:44 PM,Accepted-AOC,As per decision of the tender committee,29-Jun-2022 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
