Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage
04-Jun-2021 03:00 PM,15-Jul-2021 05:00 PM,04-Jun-2021 03:00 PM,15-Jul-2021 02:00 PM,NA ,NA ,18-Jun-2021 02:00 PM,15-Jul-2021 02:00 PM,22-Mar-2022 02:00 PM,"5,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Prequalification,supply of various equipment for the department of Microbiology,supply of various equipment for the department of Microbiology for all Medical College Hospitals and Dental Colleges of Assam,Please refer Tender documents. ,NA ,,Medical Equipments/Waste,NA ,Rate Contract,365.0,21.0,Medical Colleges Hospitals of Assam,781022.0,"Office of the DME, ASSAM, Sixmile, Khanapara  ","Office of the DME, ASSAM, Sixmile, Khanapara  ",18-Jun-2021 12:00 PM ,"DME, ASSAM, Sixmile, Khanapara",No ,No,"DME, ASSAM, Sixmile, Khanapara","Office of the DME, ASSAM, Sixmile, Khanapara",1.0,Corigendum for Extension2,Date,,Health and Family Welfare Department||Directorate of Medical Education-HFWD,DME/ Micro/123/2021/12897 dt 3/6/21,2021_HFWD_21803_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"2,00,000",Yes,fixed,,Nil,Nil,AOC,1,118944,BR Biochem Life Sciences Pvt.Ltd.,07-Jul-2021 11:46 AM,Rejected-Technical,Rejected,17-Mar-2022 05:31 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2021_HFWD_21803_1,DME/ Micro/123/2021/12897 dt 3/6/21,supply of various equipment for the department of Microbiology,Technical,Accepted for technical evaluation,Horgobinda Nath,16-Nov-2021 04:26 PM,technical_33935.pdf,AOC
,,,,,,,,,,,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,118726,CHENKEM,29-Jun-2021 07:24 PM,Rejected-Technical,Rejected,17-Mar-2022 05:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,118853,J.M. DISTRIBUTORS,10-Jul-2021 04:52 PM,Rejected-AOC,L3,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Supplementary BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,118873,Jyoti Pharmaceuticals,15-Jul-2021 01:26 PM,Accepted-AOC,Accepted,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,118820,Matrix Eco Technologies,02-Jul-2021 05:09 PM,Rejected-Technical,Rejected,17-Mar-2022 05:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,118901,M B Traders,14-Jul-2021 07:50 PM,Not Admitted-Finance,Others-Rejected,30-Apr-2022 03:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,118607,M/s Popular Science Apparatus Workshops Pvt. Ltd.,26-Jun-2021 04:43 PM,Rejected-AOC,L2,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,118940,NANOTRONIX INDIA,06-Jul-2021 01:19 PM,Rejected-Technical,"Rejected, not complied",17-Mar-2022 05:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,118876,NJD TRADERS,15-Jul-2021 11:05 AM,Accepted-AOC,Accepted,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,118905,North East Enterprise,06-Jul-2021 11:55 AM,Accepted-AOC,Accepted,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,118916,United Traders,06-Jul-2021 10:01 AM,Accepted-AOC,Accepted,10-Jun-2022 02:47 PM,,,,,,,,,,AOC
