Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Bid Security,"30,32,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,23-Nov-2021 04:00 PM,10-Dec-2021 02:30 PM,23-Nov-2021 04:00 PM,10-Dec-2021 02:00 PM,23-Nov-2021 04:00 PM ,10-Dec-2021 02:00 PM ,26-Nov-2021 02:00 PM,10-Dec-2021 02:00 PM,19-Jan-2022 03:10 PM,"Chief Engineer, PWD (Roads), Assam","O/o the Chief.Engineer. PWD (Roads), Assam, Chandmari, Guwahati, 781003.",1.0,DD - Demand Draft,Public Works Roads Department,CE/DEV/TB/111/2021-22/17,2021_PWD_23476_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,"SOPD_G_21_22_22 Construction of approaches for Bridge No. 3/1 at Koratigram Modhuramukh road including Protection work and land acquisition in Cachar District under SOPD-G for the year 2021-22, Udharbond LAC","SOPD_G_21_22_22 Construction of approaches for Bridge No. 3/1 at Koratigram Modhuramukh road including Protection work and land acquisition in Cachar District under SOPD-G for the year 2021-22, Udharbond LAC",Please refer Tender documents. ,NA ,"15,15,91,000",Civil Works,NA ,Tender,180.0,365.0,Udharbond,781003.0,"O/o the Chief.Engineer. PWD (Roads), Assam ","O/o the Chief.Engineer. PWD (Roads), Assam, Chandmari, Guwahati, 781003. ",25-Nov-2021 12:00 PM ,"O/o the Chief.Engineer. PWD (Roads), Assam",No ,No,AOC,Public Works Roads Department,2021_PWD_23476_1,CE/DEV/TB/111/2021-22/17,"SOPD_G_21_22_22 Construction of approaches for Bridge No. 3/1 at Koratigram Modhuramukh road including Protection work and land acquisition in Cachar District under SOPD-G for the year 2021-22, Udharbond LAC",CE,Internal,,MRIDUL TALUKDAR,27-Jun-2022 12:01 PM,finsummary_36081.pdf (308.91 KB),1.0,127653.0,UCN CONSTRUCTION COMPANY PRIVATE LIMITED,INR,136431900.0,"Chief Engineer, PWD, Roads, Assam, Chandmari, Guwahati",Internal,,BHABANANDA DEKA,19-Jan-2022 03:05 PM,19-Jan-2022 03:10 PM,techsummary_36081.pdf (440.25 KB),Finance,Financial Opened,MRIDUL TALUKDAR,19-Jan-2022 03:20 PM,,BOQ Comparative Chart,27-Jun-2022,INR 136431899.95,365.0,MRIDUL TALUKDAR,27-Jun-2022 12:04 PM,scan0002.pdf (283.00 KB),1,127679,BINNI CONSTRUCTION,10-Dec-2021 11:06 AM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,Technical,Verified,BHABANANDA DEKA,19-Jan-2022 03:01 PM,technical_36081.pdf,AOC
,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,127665,DEBOJIT DEB,09-Dec-2021 10:15 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127661,HIGH-TECH ECOGREEN CONTRACTORS LLP,09-Dec-2021 12:01 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,127686,I J CONSTRUCTION,10-Dec-2021 09:35 AM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,127673,M.S. CONSTRUCTION,09-Dec-2021 07:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Jan-2022 03:01 PM,,,,,,AOC
,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,127671,Ramish Access,09-Dec-2021 08:12 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,127654,RCN Constructions Pvt Ltd,10-Dec-2021 10:23 AM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,127687,Santanu Chakrabarty,10-Dec-2021 12:52 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,127624,Shree Gautam Construction Co Ltd,10-Dec-2021 11:31 AM,Rejected-AOC,Not Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,127653,UCN CONSTRUCTION COMPANY PRIVATE LIMITED,10-Dec-2021 10:14 AM,Accepted-AOC,Awarded,27-Jun-2022 12:04 PM,,,,,,AOC
