Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial BID Opening,Pradeep Singh,07-Jun-2022 01:16 PM,finance_87978.pdf,BOQ Comparative Chart,1.0,272723.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"16,542,083",Technical,Technical Bid,Pradeep Singh,30-Mar-2022 10:34 AM,technical_87978.pdf,1.0,273040.0,Chaman lal sharma,26-Mar-2022 07:47 AM,Rejected-Technical,Non Responsive,30-Mar-2022 10:49 AM,EE Pradeep Thakur,Internal,"AE to EE, AE Chakkar, Supdt G-II, DAO",Pradeep Singh,07-Jun-2022 01:29 PM,finsummary_87978.pdf (380.60 KB),07-Jun-2022,"INR 16,542,083",30.0,Pradeep Singh,07-Jun-2022 01:44 PM,AOC.pdf (537.00 KB),Award letter No PW-NCD-TA-Tender-AMP/2022-2200-10 dated 25.04.2022,PWD,2022_PWD_58228_1,PW-NCD-TA-NIQ- Tender-2022-21129-79 dt. 11.03.2022,AMP for the year 2022-23 on Una Aghar Barsar Jahu Bhambla Nerchowk road (HP0810MDR08431103),Er. Pradeep Singh,Internal,"AE to EE, Supdt., D.A.O.",Pradeep Singh,30-Mar-2022 10:49 AM,02-Apr-2022 11:30 AM,techsummary_87978.pdf (444.41 KB),AOC,"5,000",EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,PWD,PW-NCD-TA-NIQ- Tender-2022-21129-79 dt. 11.03.2022,2022_PWD_58228_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer HPPWD Division Nerchowk,HPPWD Division Nerchowk,AMP for the year 2022-23 on Una Aghar Barsar Jahu Bhambla Nerchowk road (HP0810MDR08431103),Providing and Laying Bituminous concrete in Km.113/0 to 116/0 and 122/0 to 126/300 Under MDR-84 road.,Please refer Tender documents. ,NA ,"1,81,78,113",Civil Works,NA ,Tender,90.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,"3,64,000",No,fixed,,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,19-Mar-2022 11:30 AM,26-Mar-2022 11:30 AM,19-Mar-2022 11:30 AM,26-Mar-2022 11:00 AM,NA ,NA ,19-Mar-2022 11:30 AM,26-Mar-2022 11:00 AM,02-Apr-2022 11:30 AM,AOC
,,,,,,,,,,,,,,,,2.0,272723.0,Dinesh Kumar Sharma Const. (P) Ltd,26-Mar-2022 08:30 AM,Accepted-AOC,Being L1,07-Jun-2022 01:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,273022.0,Kamlesh Kumar Negi,26-Mar-2022 09:29 AM,Rejected-Finance,Being L5,07-Jun-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,273012.0,S.A. ASSOCIATES,25-Mar-2022 08:42 PM,Rejected-Finance,Being L3,07-Jun-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,272493.0,S.S.Chauhans Construction Private Limted,26-Mar-2022 09:18 AM,Rejected-Finance,Being L2,07-Jun-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,273038.0,TIRATH RAM SHARMA,26-Mar-2022 07:41 AM,Rejected-Finance,Being L4,07-Jun-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Bid data sheet/Letter of bid duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Any other information bidders like to Provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Latest GST and Income Tax returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
