Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,EE Dehra letter No.8358-62 dated 13.12.2021,2021_PWD_54950_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Constructionof Govt. Degree College Building at Majheen District Kangra HP,"Construction of building portion, including water supply and sanitary installation and Rain Harvesting Tank and Site Development",Please refer to tender documents ,NA ,,Civil Works - Buildings,C/O building ,Tender,75.0,548.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of document of online payment on account of the cost of bid documents as specified in DBD,"5,000",Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,23-Dec-2021 10:10 AM,31-Dec-2021 11:30 AM,23-Dec-2021 10:10 AM,30-Dec-2021 06:00 PM,23-Dec-2021 10:10 AM ,27-Dec-2021 05:00 PM ,23-Dec-2021 10:10 AM,30-Dec-2021 06:00 PM,12-Jan-2022 11:00 AM,"8,97,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,PWD,2021_PWD_54950_1,EE Dehra letter No.8358-62 dated 13.12.2021,Constructionof Govt. Degree College Building at Majheen District Kangra HP,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,06-Jan-2022 04:52 PM,12-Jan-2022 11:00 AM,techsummary_82395.pdf (373.66 KB),EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,06-Jun-2022 05:32 PM,finsummary_82395.pdf (156.46 KB),19-Jun-2022,"INR 44,846,147",548.0,Dinesh Kumar Dhiman,19-Jun-2022 12:47 PM,GDC-Majheen2.pdf (760.00 KB),Award letter of this work issued,1.0,253260.0,Vinay Garg,INR,"41,736,789",Finance,Tender opening sumary,Dinesh Kumar Dhiman,06-Jun-2022 05:28 PM,finance_82395.pdf,BOQ Comparative Chart,1.0,252113.0,Ujjawal Singh,30-Dec-2021 04:02 PM,Rejected-Finance,Rejected being highest bid amount,06-Jun-2022 05:32 PM,Technical,Technical bid opening summary,Dinesh Kumar Dhiman,06-Jan-2022 04:34 PM,technical_82395.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of document of online payment on account of the cost of bid security as specified in DBD,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253260.0,Vinay Garg,30-Dec-2021 04:23 PM,Accepted-AOC,Work awarded,19-Jun-2022 12:47 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid registration under EPF and Miscellaneous provisions Act 1952 as specified in SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover certificate from CA for last five financial years with details,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for similar nature for last five years duly signed by the concerned EE,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work in hand/existing commitments as specified in the SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery/equipments with ownership/hire/lease,buying proof",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of availability of technical personnel,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding litigation or arbitration during the last five years,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with name of bid that all the informations/bid document submitted with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no near relative is working as Gazzetted/Non Gazzetted officer in PWD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding bid validity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under GST,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
