Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
29-Jun-2022,"INR 786,085",90.0,Jeet Singh Thakur,29-Jun-2022 06:02 PM,3128.pdf (688.00 KB),Construction of Sultanpur Draman P/L interlocking Paver at various Rds,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Jun-2021 03:19 PM,finsummary_71325.pdf (128.52 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,31-May-2021 06:25 PM,04-Jun-2021 11:30 AM,techsummary_71325.pdf (256.92 KB),PWD,2021_PWD_47513_1,No. PWC-WA-II/Contt/ 1652-1751 dated 6.5.21,Construction of Sultanpur Draman P/L interlocking Paver at various Rds,Finance,BOS,Jeet Singh Thakur,22-Jun-2021 03:13 PM,finance_71325.pdf,BOQ Comparative Chart,1.0,213864.0,Moti Ram,INR,"1,568,000",Technical,BOS,Jeet Singh Thakur,31-May-2021 06:20 PM,technical_71325.pdf,1.0,213871.0,Ashtosh Kashyap,26-May-2021 06:20 PM,Rejected-Finance,l5,22-Jun-2021 03:19 PM,AOC,1.0,ICICI BANK,350.0,Nil,Nil,No,17-May-2021 06:00 PM,28-May-2021 11:30 AM,17-May-2021 06:00 PM,27-May-2021 05:00 PM,NA ,NA ,17-May-2021 06:00 PM,27-May-2021 05:00 PM,04-Jun-2021 11:30 AM,Construction of Sultanpur Draman P/L interlocking Paver at various Rds,Construction of Sultanpur Draman P/L interlocking Paver at various Rds,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No. PWC-WA-II/Contt/ 1652-1751 dated 6.5.21,2021_PWD_47513_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,"15,750",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,213687.0,DEEPAK KUMAR,27-May-2021 12:03 PM,Rejected-Finance,l3,22-Jun-2021 03:19 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,213985.0,Kartik Thakur,27-May-2021 12:27 PM,Rejected-Finance,L2,22-Jun-2021 03:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.24.3),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,213864.0,Moti Ram,27-May-2021 02:22 PM,Accepted-AOC,Work completed and Earnest money may be released,29-Jun-2022 06:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.24.4),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,213484.0,VINAY THAKUR,24-May-2021 12:59 PM,Rejected-Finance,l4,22-Jun-2021 03:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail Work in hand /on going work,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinary,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7/ 8 duly signed by the contractor,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
