S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,Transport Department||Commissionerate Of Transport,CT-MV/289/2022/1087,2022_TDA_24701_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,12-Mar-2022 09:00 AM,08-Apr-2022 04:00 PM,12-Mar-2022 09:00 AM,08-Apr-2022 12:00 PM,12-Mar-2022 09:00 AM ,17-Mar-2022 01:00 PM ,25-Mar-2022 09:00 AM,08-Apr-2022 12:00 PM,26-Apr-2022 04:00 PM,RFP for selection of Service Provider for Supply Print and Dispatch of Laminated card type Driving License and Vehicle Registration Certificate with QR code without chip for Transport Department Govt of Assam,RFP for selection of Service Provider for Supply Print and Dispatch of Laminated card type Driving License and Vehicle Registration Certificate with QR code without chip for Transport Department Govt of Assam,As per RFP ,NA ,,Miscellaneous Works,NA ,Tender,180.0,730.0,Guwahati,781022.0,Guwahati Assam ,Office of the Commissioner of Transport Paribahan Bhawan Jawaharnagar Khanapara Guwahati 781022 ,22-Mar-2022 02:00 PM ,Office of the Commissioner of Transport,No ,No,Joint Commissioner of Transport,Office of the Commissioner of Transport Paribahan Bhawan Jawaharnagar Khanapara Guwahati 781022,1.0,Fee/PreQual/Technical,.pdf,Pre Qualification cum Technical,"20,000",Nil,Nil,Yes,1.0,BOQ Corrigendum 1,BOQ,,"15,00,000",Yes,fixed,,Nil,Nil,AOC,Rubul Talukdar,Internal,,Deepak Pandey,25-Apr-2022 09:51 PM,26-Apr-2022 04:00 PM,techsummary_38152.pdf (316.34 KB),Technical,"Out of the 11nos Bids, 6 nos of bids have been technically qualified, 5 nos. of bids have been disqualified, report of the technical evaluation committee is enclosed.",Deepak Pandey,25-Apr-2022 09:06 PM,technical_38152.pdf,Transport Department||Commissionerate Of Transport,2022_TDA_24701_1,CT-MV/289/2022/1087,RFP for selection of Service Provider for Supply Print and Dispatch of Laminated card type Driving License and Vehicle Registration Certificate with QR code without chip for Transport Department Govt of Assam,1,144590,A-ID SYSTEMS (I) PVT LTD.,07-Apr-2022 06:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Apr-2022 09:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,2.0,Date extension 1,Date,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,144903,Alankit Limited,08-Apr-2022 11:59 AM,Rejected-AOC,L2,09-Jun-2022 06:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Fee Corrigendum,Fee,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,144828,Assam Electronics Development Corporation Limited,07-Apr-2022 09:02 PM,Rejected-AOC,L5,09-Jun-2022 06:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Corrigendum Notification for Revised BOQ,Other,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,144813,Ecartes Technology Pvt. Ltd.,08-Apr-2022 11:59 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Apr-2022 09:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Technical Corrigendum1 and prebid queries reply,Technical Bid,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,144132,MCT Cards And Technology Private Limited,08-Apr-2022 11:50 AM,Rejected-AOC,L4,09-Jun-2022 06:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,144682,M-Tech Innovations Ltd,08-Apr-2022 11:07 AM,Rejected-Finance,Abnormally Low Quotes as per clause 2.35 of the RFP,09-Jun-2022 06:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,144721,PHO-COM-NET PRIVATE LIMITED,08-Apr-2022 11:58 AM,Accepted-AOC,L1,09-Jun-2022 06:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,144934,Printography Systems (India) Pvt. Ltd.,08-Apr-2022 11:48 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Apr-2022 09:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,144860,Silver Touch Technologies Ltd.,08-Apr-2022 10:45 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Apr-2022 09:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,144201,Smart Chip Pvt Ltd,08-Apr-2022 11:04 AM,Rejected-AOC,L3,09-Jun-2022 06:42 PM,AOC
