Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,as approved the tech bids the fin bids of all qualify bidders have been opened and than download by the tender opening committee,Rasbir Singh Negi,19-May-2022 10:19 AM,finance_84071.pdf,BOQ Comparative Chart,Technical,3 nos online bids recevied and all documents from bidders cover have been donwloaded for scrutiny by the tender opening committee,Rasbir Singh Negi,14-Mar-2022 11:03 AM,technical_84071.pdf,17-Jun-2022,"INR 26,470,450",365.0,Rasbir Singh Negi,17-Jun-2022 02:11 PM,AOCKailash.pdf (722.00 KB),The bid of Sh. was to L-1 hence the work has been awarded to him as per uploaded award work,EE Rampur,Internal,AE(D)Shimla EE(D) Shimla SE(JSV) R/Peo,Rasbir Singh Negi,14-Mar-2022 11:12 AM,14-Mar-2022 11:15 AM,techsummary_84071.pdf (5703.18 KB),1.0,258281.0,KAILASH THAKUR,27-Jan-2022 11:15 AM,Accepted-AOC,Accepted,17-Jun-2022 02:11 PM,1.0,258281.0,KAILASH THAKUR,INR,"26,470,450","HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",2022_HPIPH_55928_1,EE-JSD-RMP-E-TEN/21-13157-207 DT 19.1.22,Prov. LIS from Chaber Khad to Delath Karangla Horticulture land in GP Delath and Karangla HP JOB-2,EE Rampur,Internal,"AE, HDM, Supdtt, TA",Rasbir Singh Negi,17-Jun-2022 01:16 PM,finsummary_84071.pdf (421.74 KB),AOC,Prov. LIS from Chaber Khad to Delath Karangla Horticulture land in GP Delath and Karangla HP JOB-2,Prov. LIS from Chaber Khad to Delath Karangla Horticulture land in GP Delath and Karangla HP JOB-2,Please refer Tender documents. ,NA ,"2,50,34,201",Civil Works,NA ,Tender,120.0,365.0,Chaber,172021.0,NA ,NA ,NA ,Rampur,No ,No,20-Jan-2022 04:30 PM,28-Jan-2022 10:00 AM,20-Jan-2022 04:30 PM,27-Jan-2022 05:00 PM,NA ,NA ,20-Jan-2022 04:30 PM,27-Jan-2022 05:00 PM,14-Mar-2022 11:15 AM,1.0,Fee/PreQual/Technical,.pdf,Registration in HP Jal Shakti Vibhag and any other govt./semti govt departments,1.0,ICICI BANK,Executive Engineer,Jal Shakti Division rampur,"2,82,852",Yes,fixed,,Nil,Nil,"2,500",Nil,Nil,No,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",EE-JSD-RMP-E-TEN/21-13157-207 DT 19.1.22,2022_HPIPH_55928_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,258473.0,MOHAN LAL THAKUR,26-Jan-2022 03:32 PM,Rejected-AOC,Rejected,17-Jun-2022 02:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money and cost of form through online mode,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,258381.0,OJSVI VIJAY BHANDARI,26-Jan-2022 12:43 PM,Rejected-AOC,Rejected,17-Jun-2022 02:11 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,financial turnover during last three years ending 31st march of 30 percent estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and Latest clearnance certificate duly signed by comptent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ITR, EPF and Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"work done of similar nature of work 80 percent 1, 50 percent 2, 40 percent 3 of estimated cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the contractor submit the certificate of completion or commissioning of work 90 percent awarded amt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,authorization letter regarding DSC of the person authorized by the registered tenderer upload bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking regarding studying all terms and conditions as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
