Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee,.pdf,Proof of Tender Fee,1.0,ICICI BANK,"Procurement of PCC poles of size 8m, 9m and 9.75m","Procurement of PCC poles of size 8m, 9m and 9.75m",As per NIT ,EMD amount for HP based firm registered with HPSEBL is nil and for others Rs. 87300.00 ,"87,30,000",Electrical Work/ Equipment,NA ,Tender,120.0,120.0,"Office of CE MM, HPSEBL, Vidyut Bhawan, Shimla",171004.0,NA ,NA ,NA ,"Office of CE MM, HPSEBL, Vidyut Bhawan, Shimla",No ,No,1.0,Corrigendum NO. 3,Date,,18-Jan-2022 12:00 PM,05-Mar-2022 11:00 AM,18-Jan-2022 12:00 PM,04-Mar-2022 03:00 PM,NA ,NA ,19-Jan-2022 10:00 AM,04-Mar-2022 03:00 PM,16-Mar-2022 03:00 PM,"1,180",Nil,Nil,No,"87,300",Yes,fixed,,Nil,Nil,HPSEBL,CE(MM)-10/2021,2022_HPSEB_55778_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,Chief Engineer MM,"Office of CE MM, HPSEBL, Vidyut Bhawan, Shimla",AOC,Sr. Xen (Civil),Internal,Sr. Xen (Civil) Assistant Engineer Account Officer,Suraj Pandey,18-Jun-2022 05:03 PM,finsummary_83817.pdf (325.49 KB),HPSEBL,2022_HPSEB_55778_1,CE(MM)-10/2021,"Procurement of PCC poles of size 8m, 9m and 9.75m",1.0,262750.0,Kreative Concrete Industries,INR,"6,948,368.64",1.0,262986.0,K B INDUSTRIES,16-Feb-2022 06:51 PM,Accepted-AOC,L-1 for 8 meter and 9.75 meter PCC Pole,18-Jun-2022 05:06 PM,Sr. Excecutive Engineer Civil,Internal,Sr. Excecutive Engineer Civil Assistant Engineer Account Officer,Yashwant Singh Thakur,15-Mar-2022 05:38 PM,16-Mar-2022 03:00 PM,techsummary_83817.pdf (411.44 KB),18-Jun-2022,"INR 9,770,782.32",120.0,Suraj Pandey,18-Jun-2022 05:06 PM,AwardSummary.pdf (325.00 KB),The purchase orders were placed on 17.05.2022,Technical,Techno-commercial bid opening summary,Yashwant Singh Thakur,05-Mar-2022 12:50 PM,technical_83817.pdf,Finance,price bid opening summary,Tarun Raj Shandil,17-Mar-2022 01:14 PM,finance_83817.pdf,BOQ Comparative Chart,AOC
,,.pdf,Proof of EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,262986.0,K B INDUSTRIES,INR,"2,822,413.68",2.0,262750.0,Kreative Concrete Industries,17-Feb-2022 12:10 AM,Accepted-AOC,L-1 for 9 meter and 9.75 meter PCC Pole,18-Jun-2022 05:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,PreQual/Technical,.xls,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Purchase order along with performance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration with Industries Department along with Capacity and Capability Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of plant and machinery along with testing equipments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"ITR, Balance Sheet, PAN Card, GST Certificate, Turnover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of arbitration/ court cases and Affidavit of blacklisting and debarring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Manufacturing Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Power of attorney/ Board of Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
