Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Bid Opening Summary,Rajesh Kumar,05-Apr-2022 03:52 PM,technical_88554.pdf,1.0,273865.0,Laiq Ram Chauhan and Sons,01-Apr-2022 02:56 PM,Rejected-Finance,Being higher rates,20-May-2022 10:39 AM,1.0,275003.0,P K Construction Shimla Pvt Ltd,INR,"14,361,304",Finance,Financial Opening summary,Rajesh Kumar,08-Apr-2022 11:06 AM,finance_88554.pdf,BOQ Comparative Chart,Chief Engineer South Zone,Internal,Executive Engineer Theog Division,Rajesh Kumar,20-May-2022 10:39 AM,finsummary_88554.pdf (800.44 KB),31-May-2022,"INR 14,928,575",90.0,Rajesh Kumar,24-Jun-2022 02:38 PM,Award.pdf (840.00 KB),Award Letter,PWD,2022_PWD_58558_2,THD/CB-tender/220216644-58,Annual maintenance of Ghorna Deothi road km 0.00 to 7.00,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr.DAO, Kewal Ram, Supdt. Gr-II, Jia Lal D/man Leela Verma, Sr. Asstt.",Rajesh Kumar,06-Apr-2022 11:43 AM,06-Apr-2022 04:00 PM,techsummary_88554.pdf (443.43 KB),AOC,PWD,THD/CB-tender/220216644-58,2022_PWD_58558_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Annual maintenance of Ghorna Deothi road km 0.00 to 7.00,Providing Bitimonious macadam in km 0.00 to 5.00 and providing bituminious concrete in km. 0.00 to 7.00,As per GCC ,NA ,"1,38,15,084",Civil Works - Roads,NA ,Tender,120.0,90.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,Executive Engineer,"Theog Division, H.P.P.W.D. Theog",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"2,76,350",No,fixed,,Nil,Nil,25-Mar-2022 05:00 PM,05-Apr-2022 11:00 AM,25-Mar-2022 05:00 PM,04-Apr-2022 05:00 PM,NA ,NA ,25-Mar-2022 05:00 PM,04-Apr-2022 05:00 PM,06-Apr-2022 04:00 PM,AOC
,,,,,2.0,275003.0,P K Construction Shimla Pvt Ltd,04-Apr-2022 03:26 PM,Accepted-AOC,Being L1,24-Jun-2022 02:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of C.A showing total annual volume in the last five years ref. clause 26.2a,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents for ownership of such machineries or legal tie-up with the owner of machinery,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,,,,,,AOC
